ablation,dataset,n_seeds,seeds,mean_test_roc_auc,std_test_roc_auc,mean_best_val_auc,per_seed_aucs,zero_phys_branch,distill_weight,cross_distill_weight,ih_rank,ih_num_prototypes
a1_no_phys,bace,15,"[0, 1, 2, 3, 42, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.842,0.0126,0.884,"[0.8551, 0.8492, 0.8586, 0.8528, 0.8565, 0.8309, 0.8295, 0.814, 0.8521, 0.8411, 0.8379, 0.8465, 0.8335, 0.8407, 0.8312]",True,0.0011950712075118732,0.05,64.0,4.0
a1_no_phys,bbbp,15,"[0, 1, 2, 3, 42, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.9425,0.0147,0.922,"[0.9392, 0.9625, 0.9469, 0.9407, 0.9079, 0.9567, 0.9237, 0.9283, 0.9564, 0.9395, 0.938, 0.9615, 0.9496, 0.9401, 0.9465]",True,0.00171889612665269,0.05,32.0,4.0
a1_no_phys,clintox,15,"[0, 1, 2, 3, 42, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.9443,0.0198,0.9196,"[0.9551, 0.9536, 0.9453, 0.9649, 0.9518, 0.913, 0.9446, 0.9652, 0.9228, 0.9562, 0.9583, 0.9457, 0.9221, 0.9634, 0.9029]",True,0.008679022613626963,0.02,16.0,16.0
a1_no_phys,sider,15,"[0, 1, 2, 3, 42, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.6328,0.0176,0.6458,"[0.6487, 0.6505, 0.6533, 0.6136, 0.6538, 0.6207, 0.6243, 0.6151, 0.6273, 0.6009, 0.6531, 0.6182, 0.6331, 0.6286, 0.6502]",True,0.018853289942275565,0.1,32.0,4.0
a1_no_phys,tox21,15,"[0, 1, 2, 3, 42, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.787,0.0037,0.8037,"[0.782, 0.7857, 0.7854, 0.7885, 0.7882, 0.7854, 0.7922, 0.7814, 0.7944, 0.7851, 0.7863, 0.7874, 0.7829, 0.7876, 0.7922]",True,0.04596991406126452,0.05,32.0,8.0
a2_no_infonce,bace,15,"[0, 1, 2, 3, 42, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.8547,0.0136,0.8785,"[0.8762, 0.8636, 0.8469, 0.8581, 0.8608, 0.8356, 0.8434, 0.8664, 0.8416, 0.8574, 0.8476, 0.8479, 0.871, 0.8328, 0.8711]",False,0.0011950712075118732,0.0,64.0,4.0
a2_no_infonce,bbbp,15,"[0, 1, 2, 3, 42, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.9612,0.0122,0.9531,"[0.9653, 0.9419, 0.9653, 0.9567, 0.9634, 0.9711, 0.9402, 0.9508, 0.9659, 0.9474, 0.981, 0.9643, 0.9758, 0.9737, 0.9558]",False,0.00171889612665269,0.0,32.0,4.0
a2_no_infonce,clintox,15,"[0, 1, 2, 3, 42, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.9183,0.018,0.9491,"[0.9145, 0.8986, 0.9167, 0.9351, 0.8755, 0.937, 0.9236, 0.9185, 0.9337, 0.9196, 0.9243, 0.8931, 0.9127, 0.9413, 0.9312]",False,0.008679022613626963,0.0,16.0,16.0
a2_no_infonce,sider,15,"[0, 1, 2, 3, 42, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.6515,0.0195,0.6619,"[0.6262, 0.6657, 0.6257, 0.6677, 0.6433, 0.6283, 0.662, 0.6514, 0.6366, 0.6859, 0.6418, 0.6445, 0.6637, 0.6445, 0.6845]",False,0.018853289942275565,0.0,32.0,4.0
a2_no_infonce,tox21,15,"[0, 1, 2, 3, 42, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.8082,0.003,0.8265,"[0.8085, 0.8125, 0.8147, 0.8104, 0.8064, 0.806, 0.8081, 0.8061, 0.8094, 0.8109, 0.8087, 0.8032, 0.8056, 0.8052, 0.8066]",False,0.04596991406126452,0.0,32.0,8.0
