split_protocol,ablation,dataset,task_type,metric_name,n_seeds,seeds,mean_test_metric,std_test_metric,mean_best_val_metric,per_seed_metrics,config_source,zero_phys_branch,distill_weight,cross_distill_weight,ih_rank,ih_num_prototypes,use_fingerprint,fp_stage,ih_block_proj,mean_test_mae,mean_test_r2
label_aware_scaffold,a1,bace,classification,roc_auc,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 42]",0.8453,0.0171,0.8843,"[0.8427, 0.8402, 0.824, 0.8325, 0.8673, 0.8509, 0.8792, 0.8502, 0.8337, 0.8325]",optuna_tuned,True,0.0011950712075118732,0.05,64.0,4.0,,,,,
label_aware_scaffold,a1,bbbp,classification,roc_auc,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 42]",0.9452,0.0077,0.9278,"[0.9485, 0.9499, 0.9398, 0.9465, 0.9384, 0.9591, 0.9305, 0.9442, 0.9474, 0.9481]",optuna_tuned,True,0.00171889612665269,0.05,32.0,4.0,,,,,
label_aware_scaffold,a1,sider,classification,roc_auc,2,"[0, 42]",0.649,0.0013,0.645,"[0.6499, 0.6481]",optuna_tuned,True,0.018853289942275565,0.1,32.0,4.0,,,,,
label_aware_scaffold,a1_a2,bace,classification,roc_auc,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 42]",0.8385,0.0145,0.8847,"[0.8319, 0.852, 0.8034, 0.8316, 0.8521, 0.8354, 0.8455, 0.8397, 0.8434, 0.85]",optuna_tuned,True,0.0011950712075118732,0.0,64.0,4.0,,,,,
label_aware_scaffold,a1_a2,bbbp,classification,roc_auc,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 42]",0.9426,0.0197,0.9287,"[0.957, 0.9558, 0.9491, 0.9341, 0.9639, 0.9247, 0.9488, 0.9537, 0.8971, 0.9416]",optuna_tuned,True,0.00171889612665269,0.0,32.0,4.0,,,,,
label_aware_scaffold,a1_a2_a4,bace,classification,roc_auc,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 42]",0.8424,0.0164,0.8888,"[0.8115, 0.8574, 0.8207, 0.859, 0.8448, 0.8493, 0.8405, 0.8588, 0.8502, 0.8316]",optuna_tuned,True,0.0011950712075118732,0.0,64.0,0.0,,,,,
label_aware_scaffold,a1_a2_a4,bbbp,classification,roc_auc,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 42]",0.9414,0.0163,0.9246,"[0.9435, 0.9353, 0.9338, 0.9436, 0.927, 0.9557, 0.9601, 0.907, 0.9497, 0.9579]",optuna_tuned,True,0.00171889612665269,0.0,32.0,0.0,,,,,
label_aware_scaffold,a1_a4,bace,classification,roc_auc,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 42]",0.8456,0.0147,0.8874,"[0.8186, 0.859, 0.8347, 0.827, 0.8483, 0.8623, 0.8486, 0.8434, 0.8581, 0.8564]",optuna_tuned,True,0.0011950712075118732,0.05,64.0,0.0,,,,,
label_aware_scaffold,a1_a4,bbbp,classification,roc_auc,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 42]",0.9349,0.0177,0.9236,"[0.9429, 0.9308, 0.9319, 0.932, 0.9636, 0.9413, 0.9563, 0.9218, 0.9007, 0.9282]",optuna_tuned,True,0.00171889612665269,0.05,32.0,0.0,,,,,
label_aware_scaffold,a1_no_phys,bace,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.8419,0.0102,0.8937,"[0.8551, 0.8492, 0.8335, 0.8407, 0.8312]",optuna_tuned,True,0.0011950712075118732,0.05,64.0,4.0,,,,,
