split_protocol,ablation,dataset,task_type,metric_name,n_seeds,seeds,mean_test_metric,std_test_metric,mean_best_val_metric,per_seed_metrics,config_source,gnn_conv,zero_phys_branch,distill_weight,cross_distill_weight,ih_rank,ih_num_prototypes,use_fingerprint,fp_stage,ih_block_proj
scaffold,gat_full_model,bace,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.8075,0.0151,0.7318,"[0.8096, 0.7951, 0.8129, 0.8288, 0.7909]",optuna_tuned:best_config.json,gat,False,0.03001470477357818,0.1,64,8,True,head,True
scaffold,gat_full_model,bbbp,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.73,0.0059,0.9608,"[0.7372, 0.7269, 0.7219, 0.7302, 0.7336]",optuna_tuned:best_config.json,gat,False,0.06075805702761636,0.02,64,6,True,head,True
scaffold,gat_no_fp,bace,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.8185,0.0028,0.6912,"[0.8223, 0.8145, 0.8185, 0.8183, 0.8188]",optuna_tuned:best_config.json,gat,False,0.03889273285058361,0.05,32,6,False,head,True
scaffold,gat_no_fp,bbbp,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.6957,0.0144,0.9304,"[0.707, 0.7084, 0.6978, 0.6729, 0.6926]",optuna_tuned:best_config.json,gat,False,0.03345674213696821,0.1,64,6,False,head,True
scaffold,gcn_full_model,bace,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.8085,0.0355,0.7264,"[0.8148, 0.748, 0.8165, 0.8417, 0.8217]",optuna_tuned:best_config.json,gcn,False,0.03001470477357818,0.1,64,8,True,head,True
scaffold,gcn_full_model,bbbp,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.7236,0.0101,0.9604,"[0.7138, 0.7174, 0.7388, 0.7289, 0.7193]",optuna_tuned:best_config.json,gcn,False,0.06075805702761636,0.02,64,6,True,head,True
scaffold,gcn_no_fp,bace,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.8254,0.0069,0.6548,"[0.8295, 0.8217, 0.8328, 0.8154, 0.8277]",optuna_tuned:best_config.json,gcn,False,0.03889273285058361,0.05,32,6,False,head,True
scaffold,gcn_no_fp,bbbp,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.6729,0.0086,0.9354,"[0.6701, 0.6765, 0.6663, 0.6862, 0.6656]",optuna_tuned:best_config.json,gcn,False,0.03345674213696821,0.1,64,6,False,head,True
scaffold,gine_full_model,bace,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.7709,0.0141,0.6959,"[0.785, 0.7604, 0.767, 0.7863, 0.7556]",optuna_tuned:best_config.json,gine,False,0.015728674194978587,0.1,64,8,True,head,True
scaffold,gine_full_model,bbbp,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.7197,0.0225,0.9601,"[0.6876, 0.7078, 0.746, 0.7286, 0.7288]",optuna_tuned:best_config.json,gine,False,0.008796368519322919,0.02,16,6,True,head,True
scaffold,gine_no_fp,bace,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.7976,0.0042,0.6607,"[0.8051, 0.7947, 0.7955, 0.7958, 0.7969]",optuna_tuned:best_config.json,gine,False,0.03889273285058361,0.05,32,6,False,head,True
scaffold,gine_no_fp,bbbp,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.6861,0.0164,0.9342,"[0.6635, 0.6777, 0.6982, 0.6866, 0.7046]",optuna_tuned:best_config.json,gine,False,0.15668169797881903,0.02,16,3,False,head,True
