split_protocol,ablation,dataset,task_type,metric_name,n_seeds,seeds,mean_test_metric,std_test_metric,mean_best_val_metric,per_seed_metrics,config_source,gnn_conv,zero_phys_branch,distill_weight,cross_distill_weight,ih_rank,ih_num_prototypes,use_fingerprint,fp_stage,ih_block_proj,mean_test_mae,mean_test_r2
scaffold,gat_full_model,bace,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.8365,0.0069,0.7499,"[0.8301, 0.8353, 0.84, 0.8466, 0.8304]",optuna_tuned,gat,False,0.0011950712075118732,0.05,64,4,True,head,True,,
scaffold,gat_full_model,bbbp,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.7085,0.0271,0.9485,"[0.734, 0.7311, 0.7128, 0.6685, 0.6964]",optuna_tuned,gat,False,0.00171889612665269,0.05,32,4,True,head,True,,
scaffold,gat_full_model,sider,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.6101,0.0154,0.6032,"[0.6067, 0.6199, 0.5964, 0.6314, 0.596]",optuna_tuned,gat,False,0.018853289942275565,0.1,32,4,True,head,True,,
scaffold,gat_full_model,tox21,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.7351,0.0028,0.7627,"[0.7335, 0.7371, 0.7368, 0.7311, 0.7372]",optuna_tuned,gat,False,0.04596991406126452,0.05,32,8,True,head,True,,
scaffold,gat_no_fp,bace,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.7993,0.0115,0.6477,"[0.7826, 0.8116, 0.7946, 0.808, 0.8]",optuna_tuned,gat,False,0.0011950712075118732,0.05,64,4,False,head,True,,
scaffold,gat_no_fp,bbbp,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.6985,0.0205,0.9418,"[0.7048, 0.6942, 0.6881, 0.6754, 0.7298]",optuna_tuned,gat,False,0.00171889612665269,0.05,32,4,False,head,True,,
scaffold,gat_no_fp,sider,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.632,0.0081,0.5489,"[0.6233, 0.6276, 0.6331, 0.6313, 0.6448]",optuna_tuned,gat,False,0.018853289942275565,0.1,32,4,False,head,True,,
scaffold,gat_no_fp,tox21,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.7281,0.0054,0.765,"[0.7238, 0.7249, 0.7242, 0.7353, 0.7325]",optuna_tuned,gat,False,0.04596991406126452,0.05,32,8,False,head,True,,
scaffold,gcn_full_model,bace,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.8418,0.0115,0.7444,"[0.8511, 0.8511, 0.8286, 0.8301, 0.8482]",optuna_tuned,gcn,False,0.0011950712075118732,0.05,64,4,True,head,True,,
scaffold,gcn_full_model,bbbp,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.7304,0.0263,0.9581,"[0.6853, 0.7354, 0.7494, 0.7487, 0.7332]",optuna_tuned,gcn,False,0.00171889612665269,0.05,32,4,True,head,True,,
