split_protocol,ablation,dataset,task_type,metric_name,n_seeds,seeds,mean_test_metric,std_test_metric,mean_best_val_metric,per_seed_metrics,config_source,zero_phys_branch,distill_weight,cross_distill_weight,ih_rank,ih_num_prototypes,use_fingerprint,fp_stage,ih_block_proj,mean_test_mae,mean_test_r2
scaffold,a124_no_all_three,cep,regression,rmse,5,"[0, 1, 2, 3, 42]",1.1811,0.0392,1.1314,"[1.1678, 1.2262, 1.1316, 1.164, 1.2156]",optuna_tuned,False,,,,,False,,False,0.5842,0.7854
scaffold,a124_no_all_three,esol,regression,rmse,5,"[0, 1, 2, 3, 42]",1.2486,0.0438,1.176,"[1.2925, 1.2837, 1.1873, 1.2572, 1.2222]",optuna_tuned,False,,,,,False,,False,0.9503,0.6527
scaffold,a124_no_all_three,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",2.4063,0.14,2.048,"[2.5093, 2.5495, 2.4131, 2.3674, 2.1924]",optuna_tuned,False,,,,,False,,False,1.9054,0.5607
scaffold,a124_no_all_three,lipo,regression,rmse,5,"[0, 1, 2, 3, 42]",0.7781,0.0171,0.7839,"[0.8066, 0.7696, 0.7619, 0.7795, 0.7729]",optuna_tuned,False,,,,,False,,False,0.5889,0.503
scaffold,a124_no_all_three,malaria,regression,rmse,5,"[0, 1, 2, 3, 42]",1.8613,0.111,0.5153,"[1.8625, 1.9069, 1.953, 1.6712, 1.9129]",optuna_tuned,False,,,,,False,,False,1.5778,-2.6573
scaffold,a12_no_phys_infonce,cep,regression,rmse,5,"[0, 1, 2, 3, 42]",1.1801,0.027,1.13,"[1.1514, 1.1982, 1.1522, 1.2106, 1.1881]",optuna_tuned,False,,,,,False,,False,0.5873,0.7858
scaffold,a12_no_phys_infonce,esol,regression,rmse,5,"[0, 1, 2, 3, 42]",1.3324,0.0389,1.2628,"[1.3993, 1.311, 1.333, 1.304, 1.3146]",optuna_tuned,False,,,,,False,,False,1.0549,0.6046
scaffold,a12_no_phys_infonce,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",2.2765,0.0226,2.2005,"[2.2816, 2.2714, 2.2902, 2.2404, 2.2986]",optuna_tuned,False,,,,,False,,False,1.7948,0.6079
scaffold,a12_no_phys_infonce,lipo,regression,rmse,5,"[0, 1, 2, 3, 42]",0.7768,0.0186,0.7758,"[0.7872, 0.7581, 0.8036, 0.7632, 0.772]",optuna_tuned,False,,,,,False,,False,0.5914,0.5046
scaffold,a12_no_phys_infonce,malaria,regression,rmse,5,"[0, 1, 2, 3, 42]",1.8676,0.1023,0.5116,"[1.9244, 2.0177, 1.772, 1.8322, 1.7919]",optuna_tuned,False,,,,,False,,False,1.585,-2.6807
scaffold,a14_no_phys_codebook,cep,regression,rmse,5,"[0, 1, 2, 3, 42]",1.2058,0.0671,1.1568,"[1.2631, 1.2928, 1.1485, 1.155, 1.1698]",optuna_tuned,False,,,,,False,,False,0.6235,0.7759
scaffold,a14_no_phys_codebook,esol,regression,rmse,5,"[0, 1, 2, 3, 42]",1.3309,0.0296,1.1953,"[1.3084, 1.345, 1.3265, 1.3741, 1.3006]",optuna_tuned,False,,,,,False,,False,1.0119,0.6056
scaffold,a14_no_phys_codebook,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",2.4996,0.1253,2.1499,"[2.5069, 2.6772, 2.5154, 2.4729, 2.3256]",optuna_tuned,False,,,,,False,,False,1.9814,0.5263
scaffold,a14_no_phys_codebook,lipo,regression,rmse,5,"[0, 1, 2, 3, 42]",0.7837,0.0307,0.7965,"[0.8111, 0.7347, 0.8087, 0.7827, 0.7815]",optuna_tuned,False,,,,,False,,False,0.5991,0.4954
scaffold,a14_no_phys_codebook,malaria,regression,rmse,5,"[0, 1, 2, 3, 42]",1.7927,0.0906,0.4748,"[1.7742, 1.9435, 1.7885, 1.7011, 1.756]",optuna_tuned,False,,,,,False,,False,1.4911,-2.3899
scaffold,a1_no_phys,cep,regression,rmse,5,"[0, 1, 2, 3, 42]",1.2205,0.0521,1.1487,"[1.2746, 1.1643, 1.2768, 1.2015, 1.185]",optuna_tuned,False,,,,,False,,False,0.6163,0.7707
scaffold,a1_no_phys,esol,regression,rmse,5,"[0, 1, 2, 3, 42]",1.304,0.0527,1.2618,"[1.3332, 1.3671, 1.2315, 1.2738, 1.3144]",optuna_tuned,False,,,,,False,,False,1.0115,0.621
scaffold,a1_no_phys,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",2.3234,0.142,2.1169,"[2.3611, 2.2914, 2.441, 2.0932, 2.4302]",optuna_tuned,False,,,,,False,,False,1.8542,0.5904
scaffold,a1_no_phys,lipo,regression,rmse,5,"[0, 1, 2, 3, 42]",0.7771,0.0288,0.7742,"[0.7843, 0.7675, 0.7857, 0.7348, 0.8131]",optuna_tuned,False,,,,,False,,False,0.5886,0.504
scaffold,a1_no_phys,malaria,regression,rmse,5,"[0, 1, 2, 3, 42]",1.9006,0.0492,0.5066,"[1.9736, 1.9116, 1.856, 1.908, 1.8538]",optuna_tuned,False,,,,,False,,False,1.6197,-2.8046
scaffold,a24_no_infonce_codebook,cep,regression,rmse,5,"[0, 1, 2, 3, 42]",1.1532,0.0289,1.147,"[1.1586, 1.1117, 1.1579, 1.192, 1.1457]",optuna_tuned,False,,,,,False,,False,0.592,0.7955
scaffold,a24_no_infonce_codebook,esol,regression,rmse,5,"[0, 1, 2, 3, 42]",0.8853,0.0347,0.8696,"[0.9299, 0.8399, 0.9083, 0.8739, 0.8746]",optuna_tuned,False,,,,,False,,False,0.6951,0.8253
scaffold,a24_no_infonce_codebook,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",2.185,0.0625,1.9687,"[2.2119, 2.2484, 2.2203, 2.1521, 2.0925]",optuna_tuned,False,,,,,False,,False,1.653,0.6385
scaffold,a24_no_infonce_codebook,lipo,regression,rmse,5,"[0, 1, 2, 3, 42]",0.7465,0.0163,0.7586,"[0.7513, 0.7213, 0.7407, 0.756, 0.7634]",optuna_tuned,False,,,,,False,,False,0.5656,0.5425
scaffold,a24_no_infonce_codebook,malaria,regression,rmse,5,"[0, 1, 2, 3, 42]",1.8147,0.0638,0.4787,"[1.8353, 1.7498, 1.8915, 1.7472, 1.8496]",optuna_tuned,False,,,,,False,,False,1.5283,-2.47
scaffold,a2_no_infonce,cep,regression,rmse,5,"[0, 1, 2, 3, 42]",1.182,0.0239,1.1079,"[1.1834, 1.1449, 1.2033, 1.2027, 1.1759]",optuna_tuned,False,,,,,False,,False,0.5739,0.7851
scaffold,a2_no_infonce,esol,regression,rmse,5,"[0, 1, 2, 3, 42]",0.9514,0.0571,0.883,"[0.9957, 1.0043, 0.9482, 0.9481, 0.8605]",optuna_tuned,False,,,,,False,,False,0.7318,0.798
scaffold,a2_no_infonce,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",2.2689,0.1219,1.895,"[2.3751, 2.2758, 2.3486, 2.0647, 2.2802]",optuna_tuned,False,,,,,False,,False,1.8069,0.6096
scaffold,a2_no_infonce,lipo,regression,rmse,5,"[0, 1, 2, 3, 42]",0.7535,0.0167,0.7653,"[0.7763, 0.7434, 0.7614, 0.7538, 0.7327]",optuna_tuned,False,,,,,False,,False,0.5722,0.5339
scaffold,a2_no_infonce,malaria,regression,rmse,5,"[0, 1, 2, 3, 42]",1.8955,0.0616,0.5404,"[1.8774, 1.8516, 1.8933, 2.0012, 1.8538]",optuna_tuned,False,,,,,False,,False,1.6158,-2.7853
scaffold,a4_no_codebook,cep,regression,rmse,5,"[0, 1, 2, 3, 42]",1.1427,0.0485,1.1349,"[1.151, 1.0913, 1.1174, 1.1339, 1.2199]",optuna_tuned,False,,,,,False,,False,0.5782,0.799
scaffold,a4_no_codebook,esol,regression,rmse,5,"[0, 1, 2, 3, 42]",0.9197,0.0246,0.8812,"[0.8955, 0.9414, 0.9143, 0.8981, 0.949]",optuna_tuned,False,,,,,False,,False,0.7148,0.8116
scaffold,a4_no_codebook,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",2.2148,0.0492,1.9898,"[2.2653, 2.2017, 2.2585, 2.1445, 2.204]",optuna_tuned,False,,,,,False,,False,1.7088,0.6287
scaffold,a4_no_codebook,lipo,regression,rmse,5,"[0, 1, 2, 3, 42]",0.7654,0.0066,0.7652,"[0.7705, 0.7582, 0.7719, 0.768, 0.7584]",optuna_tuned,False,,,,,False,,False,0.5765,0.5193
scaffold,a4_no_codebook,malaria,regression,rmse,5,"[0, 1, 2, 3, 42]",1.7619,0.1176,0.4883,"[1.8412, 1.7054, 1.8539, 1.8286, 1.5804]",optuna_tuned,False,,,,,False,,False,1.4662,-2.2795
scaffold,full_model,cep,regression,rmse,5,"[0, 1, 2, 3, 42]",1.1368,0.0418,1.1313,"[1.1843, 1.0769, 1.1244, 1.1676, 1.1309]",optuna_tuned,False,,,,,False,,False,0.5768,0.8011
scaffold,full_model,esol,regression,rmse,5,"[0, 1, 2, 3, 42]",0.9502,0.0546,0.9065,"[0.9783, 0.987, 0.8691, 0.9976, 0.919]",optuna_tuned,False,,,,,False,,False,0.7341,0.7985
