split_protocol,ablation,dataset,task_type,metric_name,n_seeds,seeds,mean_test_metric,std_test_metric,mean_best_val_metric,per_seed_metrics,config_source,gnn_conv,zero_phys_branch,distill_weight,cross_distill_weight,ih_rank,ih_num_prototypes,use_fingerprint,fp_stage,ih_block_proj,mean_test_mae,mean_test_r2
scaffold,gcn_full_model,cep,regression,rmse,5,"[0, 1, 2, 3, 42]",1.0716,0.0147,1.1318,"[1.0637, 1.0848, 1.0901, 1.0611, 1.0582]",optuna_tuned:best_config.json,gcn,False,0.009005588897543012,0.1,64,4,True,head,True,0.5041,0.8235
scaffold,gcn_full_model,esol,regression,rmse,5,"[0, 1, 2, 3, 42]",0.8908,0.0446,0.9304,"[0.9431, 0.8542, 0.8935, 0.9244, 0.8385]",optuna_tuned:best_config.json,gcn,False,0.08387167822214522,0.02,16,8,True,head,True,0.6771,0.823
scaffold,gcn_full_model,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",1.9913,0.2362,3.1628,"[1.9984, 2.0694, 2.3283, 1.8647, 1.6957]",optuna_tuned:best_config.json,gcn,False,0.0010271807131052074,0.1,64,6,True,head,True,1.5607,0.6966
scaffold,gcn_full_model,lipo,regression,rmse,5,"[0, 1, 2, 3, 42]",0.7177,0.015,0.7536,"[0.7159, 0.7329, 0.7325, 0.7087, 0.6984]",optuna_tuned:best_config.json,gcn,False,0.0010271807131052074,0.1,64,6,True,head,True,0.5511,0.5772
scaffold,gcn_full_model,malaria,regression,rmse,5,"[0, 1, 2, 3, 42]",1.9499,0.017,0.6715,"[1.9734, 1.9443, 1.9607, 1.9394, 1.9315]",optuna_tuned:best_config.json,gcn,False,0.0036055908285175485,0.05,16,3,True,head,True,1.6669,-3.0025
scaffold,gcn_no_3d,cep,regression,rmse,5,"[0, 1, 2, 3, 42]",1.111,0.0179,1.1702,"[1.1158, 1.0996, 1.1378, 1.0907, 1.1111]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.009005588897543012,0.1,64,4,True,head,True,0.5661,0.8102
scaffold,gcn_no_3d,esol,regression,rmse,5,"[0, 1, 2, 3, 42]",1.1159,0.0228,1.085,"[1.1117, 1.1248, 1.1171, 1.1444, 1.0816]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.08387167822214522,0.02,16,8,True,head,True,0.8559,0.7227
scaffold,gcn_no_3d,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",2.1565,0.4073,3.1636,"[2.193, 1.9171, 2.8504, 1.9508, 1.8715]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.0010271807131052074,0.1,64,6,True,head,True,1.664,0.6381
scaffold,gcn_no_3d,lipo,regression,rmse,5,"[0, 1, 2, 3, 42]",0.7276,0.0142,0.7419,"[0.7199, 0.7277, 0.7279, 0.7504, 0.7123]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.0010271807131052074,0.1,64,6,True,head,True,0.5585,0.5654
scaffold,gcn_no_3d,malaria,regression,rmse,5,"[0, 1, 2, 3, 42]",1.9381,0.0312,0.6591,"[1.9731, 1.9, 1.9553, 1.9514, 1.9107]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.0036055908285175485,0.05,16,3,True,head,True,1.6493,-2.955
scaffold,gcn_no_3d_codebook,cep,regression,rmse,5,"[0, 1, 2, 3, 42]",1.1095,0.0184,1.157,"[1.0804, 1.1254, 1.1114, 1.1054, 1.125]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.009005588897543012,0.1,0,0,True,head,True,0.5588,0.8107
