number,state,value,datetime_start,datetime_complete,duration_seconds,params_json,user_attrs_json
0,COMPLETE,0.6361051883439943,2026-08-23T15:29:47.956639,2026-08-23T15:33:42.692324,234.735685,"{""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.010299214204601972, ""ema_decay"": 0.9973159696206534, ""ema_decay_init"": 0.9, ""fusion_dropout"": 0.2, ""gnn_dropout"": 0.4, ""gnn_hidden"": 384, ""gnn_layers"": 3, ""head_lr"": 0.00011492999300221417, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.0226739865237804, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 0, ""ih_rank"": 64, ""info_nce_temperature"": 1.0, ""pretrain_lr"": 0.001716044502975482, ""weight_decay"": 1.683419201821693e-06}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.010299214204601972, ""ema_decay"": 0.9973159696206534, ""ema_decay_init"": 0.9, ""gcn_pretrain_epochs"": 150, ""head_epochs"": 150, ""head_lr"": 0.00011492999300221417, ""lr"": 0.00011492999300221417, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.001716044502975482, ""weight_decay"": 1.683419201821693e-06}, ""model_kwargs"": {""fusion_dropout"": 0.2, ""gnn_conv"": ""gcn"", ""gnn_dropout"": 0.4, ""gnn_hidden"": 384, ""gnn_layers"": 3, ""ih_assignment_mode"": ""sparse"", ""ih_block_proj"": true, ""ih_diversity_weight"": 0.0226739865237804, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 0, ""ih_rank"": 64, ""ih_symmetric"": false, ""info_nce_temperature"": 1.0, ""use_fingerprint"": false}}"
1,COMPLETE,0.6314854299928927,2026-08-23T15:33:42.724175,2026-08-23T15:37:12.207881,209.483706,"{""batch_size"": 64, ""cross_distill_weight"": 0.1, ""distill_weight"": 0.005773062784917182, ""ema_decay"": 0.9536281879349704, ""ema_decay_init"": 0.98, ""fusion_dropout"": 0.0, ""gnn_dropout"": 0.4, ""gnn_hidden"": 256, ""gnn_layers"": 2, ""head_lr"": 0.0001016680374002288, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.00016736010167825804, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 0, ""ih_rank"": 64, ""info_nce_temperature"": 0.2, ""pretrain_lr"": 0.0010079659367870726, ""weight_decay"": 0.0003426465148409954}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.1, ""distill_weight"": 0.005773062784917182, ""ema_decay"": 0.9536281879349704, ""ema_decay_init"": 0.98, ""gcn_pretrain_epochs"": 150, ""head_epochs"": 150, ""head_lr"": 0.0001016680374002288, ""lr"": 0.0001016680374002288, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.0010079659367870726, ""weight_decay"": 0.0003426465148409954}, ""model_kwargs"": {""fusion_dropout"": 0.0, ""gnn_conv"": ""gcn"", ""gnn_dropout"": 0.4, ""gnn_hidden"": 256, ""gnn_layers"": 2, ""ih_assignment_mode"": ""sparse"", ""ih_block_proj"": true, ""ih_diversity_weight"": 0.00016736010167825804, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 0, ""ih_rank"": 64, ""ih_symmetric"": false, ""info_nce_temperature"": 0.2, ""use_fingerprint"": false}}"
2,COMPLETE,0.6608031272210377,2026-08-23T15:37:12.232383,2026-08-23T15:41:30.959023,258.72664,"{""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.009611426142207991, ""ema_decay"": 0.989564567603039, ""ema_decay_init"": 0.9, ""fusion_dropout"": 0.1, ""gnn_dropout"": 0.5, ""gnn_hidden"": 512, ""gnn_layers"": 3, ""head_lr"": 0.00136080647750805, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.00030455368715396805, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 128, ""ih_rank"": 32, ""info_nce_temperature"": 0.2, ""pretrain_lr"": 0.0005031534265670326, ""weight_decay"": 0.001269216954106513}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.009611426142207991, ""ema_decay"": 0.989564567603039, ""ema_decay_init"": 0.9, ""gcn_pretrain_epochs"": 150, ""head_epochs"": 150, ""head_lr"": 0.00136080647750805, ""lr"": 0.00136080647750805, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.0005031534265670326, ""weight_decay"": 0.001269216954106513}, ""model_kwargs"": {""fusion_dropout"": 0.1, ""gnn_conv"": ""gcn"", ""gnn_dropout"": 0.5, ""gnn_hidden"": 512, ""gnn_layers"": 3, ""ih_assignment_mode"": ""sparse"", ""ih_block_proj"": true, ""ih_diversity_weight"": 0.00030455368715396805, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 128, ""ih_rank"": 32, ""ih_symmetric"": false, ""info_nce_temperature"": 0.2, ""use_fingerprint"": false}}"
3,PRUNED,0.6417910447761194,2026-08-23T15:41:30.986287,2026-08-23T15:45:10.936607,219.95032,"{""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.0012411515780473906, ""ema_decay"": 0.9762529595196632, ""ema_decay_init"": 0.95, ""fusion_dropout"": 0.1, ""gnn_dropout"": 0.2, ""gnn_hidden"": 256, ""gnn_layers"": 2, ""head_lr"": 0.00020378563773076978, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.09056311714376349, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""info_nce_temperature"": 1.0, ""pretrain_lr"": 0.0006671771392675706, ""weight_decay"": 0.00015798070335448384}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.0012411515780473906, ""ema_decay"": 0.9762529595196632, ""ema_decay_init"": 0.95, ""gcn_pretrain_epochs"": 150, ""head_epochs"": 150, ""head_lr"": 0.00020378563773076978, ""lr"": 0.00020378563773076978, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.0006671771392675706, ""weight_decay"": 0.00015798070335448384}, ""model_kwargs"": {""fusion_dropout"": 0.1, ""gnn_conv"": ""gcn"", ""gnn_dropout"": 0.2, ""gnn_hidden"": 256, ""gnn_layers"": 2, ""ih_assignment_mode"": ""sparse"", ""ih_block_proj"": true, ""ih_diversity_weight"": 0.09056311714376349, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""ih_symmetric"": false, ""info_nce_temperature"": 1.0, ""use_fingerprint"": false}}"
4,PRUNED,0.5765813788201849,2026-08-23T15:45:11.186755,2026-08-23T15:47:21.101076,129.914321,"{""batch_size"": 128, ""cross_distill_weight"": 0.1, ""distill_weight"": 0.03909053404972391, ""ema_decay"": 0.9549721056004356, ""ema_decay_init"": 0.9, ""fusion_dropout"": 0.1, ""gnn_dropout"": 0.3, ""gnn_hidden"": 512, ""gnn_layers"": 2, ""head_lr"": 0.00012866742758077597, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.04912819179585589, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""info_nce_temperature"": 0.2, ""pretrain_lr"": 0.00010279349680184398, ""weight_decay"": 0.0001284184349515648}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.1, ""distill_weight"": 0.03909053404972391, ""ema_decay"": 0.9549721056004356, ""ema_decay_init"": 0.9, ""gcn_pretrain_epochs"": 150, ""head_epochs"": 150, ""head_lr"": 0.00012866742758077597, ""lr"": 0.00012866742758077597, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.00010279349680184398, ""weight_decay"": 0.0001284184349515648}, ""model_kwargs"": {""fusion_dropout"": 0.1, ""gnn_conv"": ""gcn"", ""gnn_dropout"": 0.3, ""gnn_hidden"": 512, ""gnn_layers"": 2, ""ih_assignment_mode"": ""sparse"", ""ih_block_proj"": true, ""ih_diversity_weight"": 0.04912819179585589, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""ih_symmetric"": false, ""info_nce_temperature"": 0.2, ""use_fingerprint"": false}}"
5,COMPLETE,0.6719971570717839,2026-08-23T15:47:21.326458,2026-08-23T15:51:08.522281,227.195823,"{""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.002454753535342306, ""ema_decay"": 0.9917974633179006, ""ema_decay_init"": 0.98, ""fusion_dropout"": 0.2, ""gnn_dropout"": 0.1, ""gnn_hidden"": 512, ""gnn_layers"": 3, ""head_lr"": 0.00010473926494901387, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.06627897035983009, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 0, ""ih_rank"": 32, ""info_nce_temperature"": 0.2, ""pretrain_lr"": 0.0017934880801218557, ""weight_decay"": 0.0022970794537196817}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.002454753535342306, ""ema_decay"": 0.9917974633179006, ""ema_decay_init"": 0.98, ""gcn_pretrain_epochs"": 150, ""head_epochs"": 150, ""head_lr"": 0.00010473926494901387, ""lr"": 0.00010473926494901387, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.0017934880801218557, ""weight_decay"": 0.0022970794537196817}, ""model_kwargs"": {""fusion_dropout"": 0.2, ""gnn_conv"": ""gcn"", ""gnn_dropout"": 0.1, ""gnn_hidden"": 512, ""gnn_layers"": 3, ""ih_assignment_mode"": ""soft"", ""ih_block_proj"": true, ""ih_diversity_weight"": 0.06627897035983009, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 0, ""ih_rank"": 32, ""ih_symmetric"": false, ""info_nce_temperature"": 0.2, ""use_fingerprint"": false}}"
6,PRUNED,0.5103056147832267,2026-08-23T15:51:08.549774,2026-08-23T15:53:36.084753,147.534979,"{""batch_size"": 128, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.0031376945109330367, ""ema_decay"": 0.9903074274723233, ""ema_decay_init"": 0.99, ""fusion_dropout"": 0.4, ""gnn_dropout"": 0.3, ""gnn_hidden"": 512, ""gnn_layers"": 4, ""head_lr"": 0.0005081558700143642, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.00019140171266136675, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 128, ""ih_rank"": 32, ""info_nce_temperature"": 0.2, ""pretrain_lr"": 0.00011183844341023755, ""weight_decay"": 1.276594789028259e-06}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.0031376945109330367, ""ema_decay"": 0.9903074274723233, ""ema_decay_init"": 0.99, ""gcn_pretrain_epochs"": 150, ""head_epochs"": 150, ""head_lr"": 0.0005081558700143642, ""lr"": 0.0005081558700143642, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.00011183844341023755, ""weight_decay"": 1.276594789028259e-06}, ""model_kwargs"": {""fusion_dropout"": 0.4, ""gnn_conv"": ""gcn"", ""gnn_dropout"": 0.3, ""gnn_hidden"": 512, ""gnn_layers"": 4, ""ih_assignment_mode"": ""hard"", ""ih_block_proj"": true, ""ih_diversity_weight"": 0.00019140171266136675, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 128, ""ih_rank"": 32, ""ih_symmetric"": false, ""info_nce_temperature"": 0.2, ""use_fingerprint"": false}}"
7,COMPLETE,0.6906538734896943,2026-08-23T15:53:36.348587,2026-08-23T15:57:56.350083,260.001496,"{""batch_size"": 64, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.013527666095282886, ""ema_decay"": 0.9519957113136295, ""ema_decay_init"": 0.9, ""fusion_dropout"": 0.3, ""gnn_dropout"": 0.1, ""gnn_hidden"": 512, ""gnn_layers"": 4, ""head_lr"": 0.000290489963873385, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.004603224516025264, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 128, ""ih_rank"": 16, ""info_nce_temperature"": 0.2, ""pretrain_lr"": 0.00011477592913333903, ""weight_decay"": 2.532786865696868e-06}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.013527666095282886, ""ema_decay"": 0.9519957113136295, ""ema_decay_init"": 0.9, ""gcn_pretrain_epochs"": 150, ""head_epochs"": 150, ""head_lr"": 0.000290489963873385, ""lr"": 0.000290489963873385, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.00011477592913333903, ""weight_decay"": 2.532786865696868e-06}, ""model_kwargs"": {""fusion_dropout"": 0.3, ""gnn_conv"": ""gcn"", ""gnn_dropout"": 0.1, ""gnn_hidden"": 512, ""gnn_layers"": 4, ""ih_assignment_mode"": ""soft"", ""ih_block_proj"": true, ""ih_diversity_weight"": 0.004603224516025264, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 128, ""ih_rank"": 16, ""ih_symmetric"": false, ""info_nce_temperature"": 0.2, ""use_fingerprint"": false}}"
8,PRUNED,0.5611229566453446,2026-08-23T15:57:56.375440,2026-08-23T15:59:57.346603,120.971163,"{""batch_size"": 128, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.10449353546686488, ""ema_decay"": 0.9899089556468579, ""ema_decay_init"": 0.98, ""fusion_dropout"": 0.2, ""gnn_dropout"": 0.4, ""gnn_hidden"": 512, ""gnn_layers"": 2, ""head_lr"": 0.0007737707338132808, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.0001614670469622493, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""info_nce_temperature"": 0.2, ""pretrain_lr"": 0.00010722041564348758, ""weight_decay"": 0.0008664308381225458}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.10449353546686488, ""ema_decay"": 0.9899089556468579, ""ema_decay_init"": 0.98, ""gcn_pretrain_epochs"": 150, ""head_epochs"": 150, ""head_lr"": 0.0007737707338132808, ""lr"": 0.0007737707338132808, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.00010722041564348758, ""weight_decay"": 0.0008664308381225458}, ""model_kwargs"": {""fusion_dropout"": 0.2, ""gnn_conv"": ""gcn"", ""gnn_dropout"": 0.4, ""gnn_hidden"": 512, ""gnn_layers"": 2, ""ih_assignment_mode"": ""hard"", ""ih_block_proj"": true, ""ih_diversity_weight"": 0.0001614670469622493, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""ih_symmetric"": false, ""info_nce_temperature"": 0.2, ""use_fingerprint"": false}}"
9,PRUNED,0.6291755508173419,2026-08-23T15:59:57.509448,2026-08-23T16:02:27.050718,149.54127,"{""batch_size"": 128, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.010374685197919575, ""ema_decay"": 0.9886912889969331, ""ema_decay_init"": 0.99, ""fusion_dropout"": 0.0, ""gnn_dropout"": 0.5, ""gnn_hidden"": 512, ""gnn_layers"": 4, ""head_lr"": 0.0002406999549719251, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.07109211599410477, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 128, ""ih_rank"": 16, ""info_nce_temperature"": 0.5, ""pretrain_lr"": 0.001071193872721023, ""weight_decay"": 0.0004131402117945609}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.010374685197919575, ""ema_decay"": 0.9886912889969331, ""ema_decay_init"": 0.99, ""gcn_pretrain_epochs"": 150, ""head_epochs"": 150, ""head_lr"": 0.0002406999549719251, ""lr"": 0.0002406999549719251, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.001071193872721023, ""weight_decay"": 0.0004131402117945609}, ""model_kwargs"": {""fusion_dropout"": 0.0, ""gnn_conv"": ""gcn"", ""gnn_dropout"": 0.5, ""gnn_hidden"": 512, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_block_proj"": true, ""ih_diversity_weight"": 0.07109211599410477, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 128, ""ih_rank"": 16, ""ih_symmetric"": false, ""info_nce_temperature"": 0.5, ""use_fingerprint"": false}}"
