number,state,value,datetime_start,datetime_complete,duration_seconds,params_json,user_attrs_json
0,COMPLETE,0.8390663390663391,2026-06-23T10:44:54.934701,2026-06-23T10:50:20.269143,325.334442,"{""batch_size"": 64, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 2, ""distill_weight"": 0.010299214204601972, ""ema_decay"": 0.9973159696206534, ""ema_decay_init"": 0.9, ""gnn_dropout"": 0.48977926559872087, ""gnn_hidden"": 384, ""gnn_layers"": 2, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.0226739865237804, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""ih_symmetric"": false, ""info_nce_temperature"": 1.0, ""nhead"": 8, ""pretrain_lr"": 0.001716044502975482, ""tf_dropout"": 0.2939819704323988, ""tf_layers"": 2, ""transformer_lr"": 0.00011492999300221417, ""weight_decay"": 1.683419201821693e-06}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.010299214204601972, ""ema_decay"": 0.9973159696206534, ""ema_decay_init"": 0.9, ""gcn_pretrain_epochs"": 150, ""lr"": 0.00011492999300221417, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.001716044502975482, ""transformer_epochs"": 150, ""transformer_lr"": 0.00011492999300221417, ""weight_decay"": 1.683419201821693e-06}, ""model_kwargs"": {""dim_ff"": 768, ""gnn_dropout"": 0.48977926559872087, ""gnn_hidden"": 384, ""gnn_layers"": 2, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.0226739865237804, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""ih_symmetric"": false, ""info_nce_temperature"": 1.0, ""nhead"": 8, ""tf_dropout"": 0.2939819704323988, ""tf_layers"": 2}}"
1,COMPLETE,0.8666198666198666,2026-06-23T10:50:20.293527,2026-06-23T10:56:10.090595,349.797068,"{""batch_size"": 64, ""cross_distill_weight"": 0.1, ""dim_ff_multiplier"": 4, ""distill_weight"": 0.005773062784917182, ""ema_decay"": 0.9536281879349704, ""ema_decay_init"": 0.98, ""gnn_dropout"": 0.5363130824940514, ""gnn_hidden"": 256, ""gnn_layers"": 2, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.00016736010167825804, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""ih_symmetric"": false, ""info_nce_temperature"": 0.2, ""nhead"": 8, ""pretrain_lr"": 0.0010079659367870726, ""tf_dropout"": 0.21957999576221704, ""tf_layers"": 4, ""transformer_lr"": 0.0001016680374002288, ""weight_decay"": 0.0003426465148409954}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.1, ""distill_weight"": 0.005773062784917182, ""ema_decay"": 0.9536281879349704, ""ema_decay_init"": 0.98, ""gcn_pretrain_epochs"": 150, ""lr"": 0.0001016680374002288, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.0010079659367870726, ""transformer_epochs"": 150, ""transformer_lr"": 0.0001016680374002288, ""weight_decay"": 0.0003426465148409954}, ""model_kwargs"": {""dim_ff"": 1024, ""gnn_dropout"": 0.5363130824940514, ""gnn_hidden"": 256, ""gnn_layers"": 2, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.00016736010167825804, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""ih_symmetric"": false, ""info_nce_temperature"": 0.2, ""nhead"": 8, ""tf_dropout"": 0.21957999576221704, ""tf_layers"": 4}}"
2,PRUNED,0.7346437346437346,2026-06-23T10:56:10.109596,2026-06-23T11:01:36.506116,326.39652,"{""batch_size"": 64, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 4, ""distill_weight"": 0.009611426142207991, ""ema_decay"": 0.989564567603039, ""ema_decay_init"": 0.9, ""gnn_dropout"": 0.35257473890627333, ""gnn_hidden"": 512, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.00030455368715396805, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 128, ""ih_rank"": 32, ""ih_symmetric"": true, ""info_nce_temperature"": 0.2, ""nhead"": 4, ""pretrain_lr"": 0.0005031534265670326, ""tf_dropout"": 0.18550820367170992, ""tf_layers"": 3, ""transformer_lr"": 0.00136080647750805, ""weight_decay"": 0.001269216954106513}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.009611426142207991, ""ema_decay"": 0.989564567603039, ""ema_decay_init"": 0.9, ""gcn_pretrain_epochs"": 150, ""lr"": 0.00136080647750805, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.0005031534265670326, ""transformer_epochs"": 150, ""transformer_lr"": 0.00136080647750805, ""weight_decay"": 0.001269216954106513}, ""model_kwargs"": {""dim_ff"": 2048, ""gnn_dropout"": 0.35257473890627333, ""gnn_hidden"": 512, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.00030455368715396805, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 128, ""ih_rank"": 32, ""ih_symmetric"": true, ""info_nce_temperature"": 0.2, ""nhead"": 4, ""tf_dropout"": 0.18550820367170992, ""tf_layers"": 3}}"
3,PRUNED,0.7767637767637767,2026-06-23T11:01:36.678044,2026-06-23T11:06:46.984807,310.306763,"{""batch_size"": 64, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 4, ""distill_weight"": 0.0012411515780473906, ""ema_decay"": 0.9762529595196632, ""ema_decay_init"": 0.95, ""gnn_dropout"": 0.3334557797845148, ""gnn_hidden"": 256, ""gnn_layers"": 2, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.09056311714376349, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 0, ""ih_rank"": 32, ""ih_symmetric"": true, ""info_nce_temperature"": 1.0, ""nhead"": 4, ""pretrain_lr"": 0.0006671771392675706, ""tf_dropout"": 0.29248945898842227, ""tf_layers"": 4, ""transformer_lr"": 0.00020378563773076978, ""weight_decay"": 0.00015798070335448384}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.0012411515780473906, ""ema_decay"": 0.9762529595196632, ""ema_decay_init"": 0.95, ""gcn_pretrain_epochs"": 150, ""lr"": 0.00020378563773076978, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.0006671771392675706, ""transformer_epochs"": 150, ""transformer_lr"": 0.00020378563773076978, ""weight_decay"": 0.00015798070335448384}, ""model_kwargs"": {""dim_ff"": 1024, ""gnn_dropout"": 0.3334557797845148, ""gnn_hidden"": 256, ""gnn_layers"": 2, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.09056311714376349, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 0, ""ih_rank"": 32, ""ih_symmetric"": true, ""info_nce_temperature"": 1.0, ""nhead"": 4, ""tf_dropout"": 0.29248945898842227, ""tf_layers"": 4}}"
4,COMPLETE,0.8629343629343629,2026-06-23T11:06:47.198676,2026-06-23T11:10:51.385048,244.186372,"{""batch_size"": 128, ""cross_distill_weight"": 0.1, ""dim_ff_multiplier"": 3, ""distill_weight"": 0.03909053404972391, ""ema_decay"": 0.9549721056004356, ""ema_decay_init"": 0.9, ""gnn_dropout"": 0.16188442486569699, ""gnn_hidden"": 512, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.04912819179585589, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 0, ""ih_rank"": 64, ""ih_symmetric"": true, ""info_nce_temperature"": 0.2, ""nhead"": 4, ""pretrain_lr"": 0.00010279349680184398, ""tf_dropout"": 0.27546787067619616, ""tf_layers"": 4, ""transformer_lr"": 0.00012866742758077597, ""weight_decay"": 0.0001284184349515648}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.1, ""distill_weight"": 0.03909053404972391, ""ema_decay"": 0.9549721056004356, ""ema_decay_init"": 0.9, ""gcn_pretrain_epochs"": 150, ""lr"": 0.00012866742758077597, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.00010279349680184398, ""transformer_epochs"": 150, ""transformer_lr"": 0.00012866742758077597, ""weight_decay"": 0.0001284184349515648}, ""model_kwargs"": {""dim_ff"": 1536, ""gnn_dropout"": 0.16188442486569699, ""gnn_hidden"": 512, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.04912819179585589, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 0, ""ih_rank"": 64, ""ih_symmetric"": true, ""info_nce_temperature"": 0.2, ""nhead"": 4, ""tf_dropout"": 0.27546787067619616, ""tf_layers"": 4}}"
5,COMPLETE,0.8090558090558091,2026-06-23T11:10:51.399696,2026-06-23T11:16:13.232049,321.832353,"{""batch_size"": 64, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 3, ""distill_weight"": 0.002454753535342306, ""ema_decay"": 0.9917974633179006, ""ema_decay_init"": 0.98, ""gnn_dropout"": 0.14215364552264162, ""gnn_hidden"": 512, ""gnn_layers"": 3, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.06627897035983009, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 0, ""ih_rank"": 32, ""ih_symmetric"": true, ""info_nce_temperature"": 0.2, ""nhead"": 4, ""pretrain_lr"": 0.0017934880801218557, ""tf_dropout"": 0.2946021109504891, ""tf_layers"": 2, ""transformer_lr"": 0.00010473926494901387, ""weight_decay"": 0.0022970794537196817}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.002454753535342306, ""ema_decay"": 0.9917974633179006, ""ema_decay_init"": 0.98, ""gcn_pretrain_epochs"": 150, ""lr"": 0.00010473926494901387, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.0017934880801218557, ""transformer_epochs"": 150, ""transformer_lr"": 0.00010473926494901387, ""weight_decay"": 0.0022970794537196817}, ""model_kwargs"": {""dim_ff"": 1536, ""gnn_dropout"": 0.14215364552264162, ""gnn_hidden"": 512, ""gnn_layers"": 3, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.06627897035983009, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 0, ""ih_rank"": 32, ""ih_symmetric"": true, ""info_nce_temperature"": 0.2, ""nhead"": 4, ""tf_dropout"": 0.2946021109504891, ""tf_layers"": 2}}"
6,COMPLETE,0.8766233766233766,2026-06-23T11:16:13.246755,2026-06-23T11:20:16.866276,243.619521,"{""batch_size"": 128, ""cross_distill_weight"": 0.02, ""dim_ff_multiplier"": 2, ""distill_weight"": 0.0031376945109330367, ""ema_decay"": 0.9903074274723233, ""ema_decay_init"": 0.99, ""gnn_dropout"": 0.43334587798939206, ""gnn_hidden"": 512, ""gnn_layers"": 4, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.00019140171266136675, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 128, ""ih_rank"": 64, ""ih_symmetric"": true, ""info_nce_temperature"": 0.2, ""nhead"": 8, ""pretrain_lr"": 0.00011183844341023755, ""tf_dropout"": 0.15871836885289867, ""tf_layers"": 3, ""transformer_lr"": 0.0005081558700143642, ""weight_decay"": 1.276594789028259e-06}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.0031376945109330367, ""ema_decay"": 0.9903074274723233, ""ema_decay_init"": 0.99, ""gcn_pretrain_epochs"": 150, ""lr"": 0.0005081558700143642, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.00011183844341023755, ""transformer_epochs"": 150, ""transformer_lr"": 0.0005081558700143642, ""weight_decay"": 1.276594789028259e-06}, ""model_kwargs"": {""dim_ff"": 1024, ""gnn_dropout"": 0.43334587798939206, ""gnn_hidden"": 512, ""gnn_layers"": 4, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.00019140171266136675, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 128, ""ih_rank"": 64, ""ih_symmetric"": true, ""info_nce_temperature"": 0.2, ""nhead"": 8, ""tf_dropout"": 0.15871836885289867, ""tf_layers"": 3}}"
7,PRUNED,0.7711477711477712,2026-06-23T11:20:16.885032,2026-06-23T11:25:25.353979,308.468947,"{""batch_size"": 64, ""cross_distill_weight"": 0.02, ""dim_ff_multiplier"": 3, ""distill_weight"": 0.013527666095282886, ""ema_decay"": 0.9519957113136295, ""ema_decay_init"": 0.9, ""gnn_dropout"": 0.45783378764591676, ""gnn_hidden"": 512, ""gnn_layers"": 2, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.004603224516025264, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 128, ""ih_rank"": 16, ""ih_symmetric"": true, ""info_nce_temperature"": 0.2, ""nhead"": 8, ""pretrain_lr"": 0.00011477592913333903, ""tf_dropout"": 0.1050701486830915, ""tf_layers"": 2, ""transformer_lr"": 0.000290489963873385, ""weight_decay"": 2.532786865696868e-06}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.013527666095282886, ""ema_decay"": 0.9519957113136295, ""ema_decay_init"": 0.9, ""gcn_pretrain_epochs"": 150, ""lr"": 0.000290489963873385, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.00011477592913333903, ""transformer_epochs"": 150, ""transformer_lr"": 0.000290489963873385, ""weight_decay"": 2.532786865696868e-06}, ""model_kwargs"": {""dim_ff"": 1536, ""gnn_dropout"": 0.45783378764591676, ""gnn_hidden"": 512, ""gnn_layers"": 2, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.004603224516025264, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 128, ""ih_rank"": 16, ""ih_symmetric"": true, ""info_nce_temperature"": 0.2, ""nhead"": 8, ""tf_dropout"": 0.1050701486830915, ""tf_layers"": 2}}"
8,PRUNED,0.8276588276588276,2026-06-23T11:25:25.553139,2026-06-23T11:29:09.018856,223.465717,"{""batch_size"": 128, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 4, ""distill_weight"": 0.10449353546686488, ""ema_decay"": 0.9899089556468579, ""ema_decay_init"": 0.98, ""gnn_dropout"": 0.4854204285347451, ""gnn_hidden"": 512, ""gnn_layers"": 3, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.0001614670469622493, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 0, ""ih_rank"": 64, ""ih_symmetric"": true, ""info_nce_temperature"": 0.2, ""nhead"": 4, ""pretrain_lr"": 0.00010722041564348758, ""tf_dropout"": 0.2284838556412631, ""tf_layers"": 2, ""transformer_lr"": 0.0007737707338132808, ""weight_decay"": 0.0008664308381225458}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.10449353546686488, ""ema_decay"": 0.9899089556468579, ""ema_decay_init"": 0.98, ""gcn_pretrain_epochs"": 150, ""lr"": 0.0007737707338132808, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.00010722041564348758, ""transformer_epochs"": 150, ""transformer_lr"": 0.0007737707338132808, ""weight_decay"": 0.0008664308381225458}, ""model_kwargs"": {""dim_ff"": 2048, ""gnn_dropout"": 0.4854204285347451, ""gnn_hidden"": 512, ""gnn_layers"": 3, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.0001614670469622493, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 0, ""ih_rank"": 64, ""ih_symmetric"": true, ""info_nce_temperature"": 0.2, ""nhead"": 4, ""tf_dropout"": 0.2284838556412631, ""tf_layers"": 2}}"
9,COMPLETE,0.8504738504738505,2026-06-23T11:29:09.209422,2026-06-23T11:32:54.154600,224.945178,"{""batch_size"": 128, ""cross_distill_weight"": 0.02, ""dim_ff_multiplier"": 2, ""distill_weight"": 0.010374685197919575, ""ema_decay"": 0.9886912889969331, ""ema_decay_init"": 0.99, ""gnn_dropout"": 0.2533615931138581, ""gnn_hidden"": 512, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.07109211599410477, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 128, ""ih_rank"": 64, ""ih_symmetric"": false, ""info_nce_temperature"": 0.5, ""nhead"": 4, ""pretrain_lr"": 0.001071193872721023, ""tf_dropout"": 0.2501742135582995, ""tf_layers"": 3, ""transformer_lr"": 0.0002406999549719251, ""weight_decay"": 0.0004131402117945609}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.010374685197919575, ""ema_decay"": 0.9886912889969331, ""ema_decay_init"": 0.99, ""gcn_pretrain_epochs"": 150, ""lr"": 0.0002406999549719251, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.001071193872721023, ""transformer_epochs"": 150, ""transformer_lr"": 0.0002406999549719251, ""weight_decay"": 0.0004131402117945609}, ""model_kwargs"": {""dim_ff"": 1024, ""gnn_dropout"": 0.2533615931138581, ""gnn_hidden"": 512, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.07109211599410477, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 128, ""ih_rank"": 64, ""ih_symmetric"": false, ""info_nce_temperature"": 0.5, ""nhead"": 4, ""tf_dropout"": 0.2501742135582995, ""tf_layers"": 3}}"
