number,state,value,datetime_start,datetime_complete,duration_seconds,params_json,user_attrs_json
0,COMPLETE,0.614411865569273,2026-08-05T03:06:30.480699,2026-08-05T05:30:39.136406,8648.655707,"{""batch_size"": 64, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 2, ""distill_weight"": 0.12370108840299013, ""ema_decay"": 0.9835274182990956, ""ema_decay_init"": 0.98, ""gnn_dropout"": 0.37050175528444396, ""gnn_hidden"": 192, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.000137832374550072, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 256, ""ih_rank"": 16, ""ih_symmetric"": false, ""info_nce_temperature"": 0.1, ""nhead"": 4, ""pretrain_lr"": 1.7456037635797413e-05, ""tf_dropout"": 0.3829770563201687, ""tf_layers"": 3, ""transformer_lr"": 0.0022413234378101127, ""weight_decay"": 1.1459852062471542e-05}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.12370108840299013, ""ema_decay"": 0.9835274182990956, ""ema_decay_init"": 0.98, ""gcn_pretrain_epochs"": 150, ""lr"": 0.0022413234378101127, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 1.7456037635797413e-05, ""transformer_epochs"": 150, ""transformer_lr"": 0.0022413234378101127, ""weight_decay"": 1.1459852062471542e-05}, ""model_kwargs"": {""dim_ff"": 384, ""gnn_dropout"": 0.37050175528444396, ""gnn_hidden"": 192, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.000137832374550072, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 256, ""ih_rank"": 16, ""ih_symmetric"": false, ""info_nce_temperature"": 0.1, ""nhead"": 4, ""tf_dropout"": 0.3829770563201687, ""tf_layers"": 3}}"
1,COMPLETE,0.8001543209876543,2026-08-05T05:30:39.156729,2026-08-05T07:57:29.809701,8810.652972,"{""batch_size"": 64, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 3, ""distill_weight"": 0.0018844731205676561, ""ema_decay"": 0.9659339827793105, ""ema_decay_init"": 0.98, ""gnn_dropout"": 0.5148434057604027, ""gnn_hidden"": 384, ""gnn_layers"": 3, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.020597335357437203, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""ih_symmetric"": true, ""info_nce_temperature"": 0.2, ""nhead"": 8, ""pretrain_lr"": 5.89306076111462e-05, ""tf_dropout"": 0.18013213230530573, ""tf_layers"": 1, ""transformer_lr"": 0.0013740794394697655, ""weight_decay"": 1.6634129977434815e-06}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.0018844731205676561, ""ema_decay"": 0.9659339827793105, ""ema_decay_init"": 0.98, ""gcn_pretrain_epochs"": 150, ""lr"": 0.0013740794394697655, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 5.89306076111462e-05, ""transformer_epochs"": 150, ""transformer_lr"": 0.0013740794394697655, ""weight_decay"": 1.6634129977434815e-06}, ""model_kwargs"": {""dim_ff"": 1152, ""gnn_dropout"": 0.5148434057604027, ""gnn_hidden"": 384, ""gnn_layers"": 3, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.020597335357437203, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""ih_symmetric"": true, ""info_nce_temperature"": 0.2, ""nhead"": 8, ""tf_dropout"": 0.18013213230530573, ""tf_layers"": 1}}"
2,COMPLETE,0.8323596413874192,2026-08-05T07:57:29.844688,2026-08-05T09:24:09.465784,5199.621096,"{""batch_size"": 128, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 3, ""distill_weight"": 0.04146366737876131, ""ema_decay"": 0.9558734029993504, ""ema_decay_init"": 0.95, ""gnn_dropout"": 0.24146019148434703, ""gnn_hidden"": 128, ""gnn_layers"": 3, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.0002138729075414894, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""ih_symmetric"": true, ""info_nce_temperature"": 0.5, ""nhead"": 8, ""pretrain_lr"": 3.549669983768087e-05, ""tf_dropout"": 0.21415316921425193, ""tf_layers"": 1, ""transformer_lr"": 0.0013556076855136886, ""weight_decay"": 2.8274092273647294e-05}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.04146366737876131, ""ema_decay"": 0.9558734029993504, ""ema_decay_init"": 0.95, ""gcn_pretrain_epochs"": 150, ""lr"": 0.0013556076855136886, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 3.549669983768087e-05, ""transformer_epochs"": 150, ""transformer_lr"": 0.0013556076855136886, ""weight_decay"": 2.8274092273647294e-05}, ""model_kwargs"": {""dim_ff"": 384, ""gnn_dropout"": 0.24146019148434703, ""gnn_hidden"": 128, ""gnn_layers"": 3, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.0002138729075414894, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""ih_symmetric"": true, ""info_nce_temperature"": 0.5, ""nhead"": 8, ""tf_dropout"": 0.21415316921425193, ""tf_layers"": 1}}"
3,PRUNED,0.799707280031354,2026-08-05T09:24:09.482976,2026-08-05T10:45:48.027015,4898.544039,"{""batch_size"": 128, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 3, ""distill_weight"": 0.0039222152370481465, ""ema_decay"": 0.9567385262631536, ""ema_decay_init"": 0.98, ""gnn_dropout"": 0.22539090890647517, ""gnn_hidden"": 192, ""gnn_layers"": 2, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.010781845035122271, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""ih_symmetric"": true, ""info_nce_temperature"": 0.2, ""nhead"": 4, ""pretrain_lr"": 0.0020911913076641546, ""tf_dropout"": 0.24578110411102522, ""tf_layers"": 1, ""transformer_lr"": 0.00039643430816069464, ""weight_decay"": 2.211697324503763e-05}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.0039222152370481465, ""ema_decay"": 0.9567385262631536, ""ema_decay_init"": 0.98, ""gcn_pretrain_epochs"": 150, ""lr"": 0.00039643430816069464, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.0020911913076641546, ""transformer_epochs"": 150, ""transformer_lr"": 0.00039643430816069464, ""weight_decay"": 2.211697324503763e-05}, ""model_kwargs"": {""dim_ff"": 576, ""gnn_dropout"": 0.22539090890647517, ""gnn_hidden"": 192, ""gnn_layers"": 2, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.010781845035122271, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""ih_symmetric"": true, ""info_nce_temperature"": 0.2, ""nhead"": 4, ""tf_dropout"": 0.24578110411102522, ""tf_layers"": 1}}"
4,PRUNED,0.7887057858122674,2026-08-05T10:45:48.225237,2026-08-05T12:11:43.749053,5155.523816,"{""batch_size"": 128, ""cross_distill_weight"": 0.02, ""dim_ff_multiplier"": 2, ""distill_weight"": 0.014341118625275708, ""ema_decay"": 0.9976775171828698, ""ema_decay_init"": 0.95, ""gnn_dropout"": 0.4266800554916078, ""gnn_hidden"": 384, ""gnn_layers"": 3, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.01735698209081424, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 128, ""ih_rank"": 64, ""ih_symmetric"": true, ""info_nce_temperature"": 0.2, ""nhead"": 4, ""pretrain_lr"": 4.021535729341343e-05, ""tf_dropout"": 0.3068126584617151, ""tf_layers"": 3, ""transformer_lr"": 0.00025572272317594177, ""weight_decay"": 8.358739477050628e-06}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.014341118625275708, ""ema_decay"": 0.9976775171828698, ""ema_decay_init"": 0.95, ""gcn_pretrain_epochs"": 150, ""lr"": 0.00025572272317594177, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 4.021535729341343e-05, ""transformer_epochs"": 150, ""transformer_lr"": 0.00025572272317594177, ""weight_decay"": 8.358739477050628e-06}, ""model_kwargs"": {""dim_ff"": 768, ""gnn_dropout"": 0.4266800554916078, ""gnn_hidden"": 384, ""gnn_layers"": 3, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.01735698209081424, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 128, ""ih_rank"": 64, ""ih_symmetric"": true, ""info_nce_temperature"": 0.2, ""nhead"": 4, ""tf_dropout"": 0.3068126584617151, ""tf_layers"": 3}}"
5,PRUNED,0.760753478346071,2026-08-05T12:11:43.959734,2026-08-05T13:41:04.897620,5360.937886,"{""batch_size"": 128, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 4, ""distill_weight"": 0.04123318100884304, ""ema_decay"": 0.994748787075267, ""ema_decay_init"": 0.98, ""gnn_dropout"": 0.26657141511494997, ""gnn_hidden"": 128, ""gnn_layers"": 4, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.04286661750367163, ""ih_num_prototypes"": 3, ""ih_proj_dim"": 256, ""ih_rank"": 16, ""ih_symmetric"": false, ""info_nce_temperature"": 0.1, ""nhead"": 8, ""pretrain_lr"": 0.0014055401945355056, ""tf_dropout"": 0.43666192761746786, ""tf_layers"": 2, ""transformer_lr"": 7.771469941298163e-05, ""weight_decay"": 0.0006559375651106448}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.04123318100884304, ""ema_decay"": 0.994748787075267, ""ema_decay_init"": 0.98, ""gcn_pretrain_epochs"": 150, ""lr"": 7.771469941298163e-05, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.0014055401945355056, ""transformer_epochs"": 150, ""transformer_lr"": 7.771469941298163e-05, ""weight_decay"": 0.0006559375651106448}, ""model_kwargs"": {""dim_ff"": 512, ""gnn_dropout"": 0.26657141511494997, ""gnn_hidden"": 128, ""gnn_layers"": 4, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.04286661750367163, ""ih_num_prototypes"": 3, ""ih_proj_dim"": 256, ""ih_rank"": 16, ""ih_symmetric"": false, ""info_nce_temperature"": 0.1, ""nhead"": 8, ""tf_dropout"": 0.43666192761746786, ""tf_layers"": 2}}"
6,PRUNED,0.7900101655888694,2026-08-05T13:41:05.078959,2026-08-05T15:56:29.116658,8124.037699,"{""batch_size"": 64, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 3, ""distill_weight"": 0.04987959735228863, ""ema_decay"": 0.9769121065705999, ""ema_decay_init"": 0.99, ""gnn_dropout"": 0.11372511247257225, ""gnn_hidden"": 256, ""gnn_layers"": 3, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.00017193692051833056, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 256, ""ih_rank"": 32, ""ih_symmetric"": true, ""info_nce_temperature"": 0.2, ""nhead"": 8, ""pretrain_lr"": 4.1675613515342814e-05, ""tf_dropout"": 0.10082420506075392, ""tf_layers"": 2, ""transformer_lr"": 0.0005296786874055661, ""weight_decay"": 3.4990533651792354e-06}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.04987959735228863, ""ema_decay"": 0.9769121065705999, ""ema_decay_init"": 0.99, ""gcn_pretrain_epochs"": 150, ""lr"": 0.0005296786874055661, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 4.1675613515342814e-05, ""transformer_epochs"": 150, ""transformer_lr"": 0.0005296786874055661, ""weight_decay"": 3.4990533651792354e-06}, ""model_kwargs"": {""dim_ff"": 768, ""gnn_dropout"": 0.11372511247257225, ""gnn_hidden"": 256, ""gnn_layers"": 3, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.00017193692051833056, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 256, ""ih_rank"": 32, ""ih_symmetric"": true, ""info_nce_temperature"": 0.2, ""nhead"": 8, ""tf_dropout"": 0.10082420506075392, ""tf_layers"": 2}}"
7,PRUNED,0.7755425729962767,2026-08-05T15:56:29.300248,2026-08-05T17:26:04.860364,5375.560116,"{""batch_size"": 128, ""cross_distill_weight"": 0.02, ""dim_ff_multiplier"": 2, ""distill_weight"": 0.0016493623837247058, ""ema_decay"": 0.9943621814558471, ""ema_decay_init"": 0.9, ""gnn_dropout"": 0.41664603672101075, ""gnn_hidden"": 256, ""gnn_layers"": 4, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.06617450849063193, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 256, ""ih_rank"": 32, ""ih_symmetric"": false, ""info_nce_temperature"": 0.5, ""nhead"": 4, ""pretrain_lr"": 0.002404282943608316, ""tf_dropout"": 0.2393887083122263, ""tf_layers"": 2, ""transformer_lr"": 0.00013650481636667998, ""weight_decay"": 2.2005218660574487e-05}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.0016493623837247058, ""ema_decay"": 0.9943621814558471, ""ema_decay_init"": 0.9, ""gcn_pretrain_epochs"": 150, ""lr"": 0.00013650481636667998, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.002404282943608316, ""transformer_epochs"": 150, ""transformer_lr"": 0.00013650481636667998, ""weight_decay"": 2.2005218660574487e-05}, ""model_kwargs"": {""dim_ff"": 512, ""gnn_dropout"": 0.41664603672101075, ""gnn_hidden"": 256, ""gnn_layers"": 4, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.06617450849063193, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 256, ""ih_rank"": 32, ""ih_symmetric"": false, ""info_nce_temperature"": 0.5, ""nhead"": 4, ""tf_dropout"": 0.2393887083122263, ""tf_layers"": 2}}"
8,PRUNED,0.7996935013717421,2026-08-05T17:26:05.044037,2026-08-05T18:54:40.201248,5315.157211,"{""batch_size"": 128, ""cross_distill_weight"": 0.02, ""dim_ff_multiplier"": 3, ""distill_weight"": 0.053856280992241094, ""ema_decay"": 0.9809600233963202, ""ema_decay_init"": 0.99, ""gnn_dropout"": 0.43078196971174865, ""gnn_hidden"": 128, ""gnn_layers"": 4, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.048592549471642474, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 128, ""ih_rank"": 32, ""ih_symmetric"": false, ""info_nce_temperature"": 0.5, ""nhead"": 4, ""pretrain_lr"": 0.0002633147460220927, ""tf_dropout"": 0.35024590065634337, ""tf_layers"": 1, ""transformer_lr"": 1.683170718737057e-05, ""weight_decay"": 0.0020201160329851643}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.053856280992241094, ""ema_decay"": 0.9809600233963202, ""ema_decay_init"": 0.99, ""gcn_pretrain_epochs"": 150, ""lr"": 1.683170718737057e-05, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.0002633147460220927, ""transformer_epochs"": 150, ""transformer_lr"": 1.683170718737057e-05, ""weight_decay"": 0.0020201160329851643}, ""model_kwargs"": {""dim_ff"": 384, ""gnn_dropout"": 0.43078196971174865, ""gnn_hidden"": 128, ""gnn_layers"": 4, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.048592549471642474, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 128, ""ih_rank"": 32, ""ih_symmetric"": false, ""info_nce_temperature"": 0.5, ""nhead"": 4, ""tf_dropout"": 0.35024590065634337, ""tf_layers"": 1}}"
9,PRUNED,0.7595149299431706,2026-08-05T18:54:40.385260,2026-08-05T21:07:10.677599,7950.292339,"{""batch_size"": 64, ""cross_distill_weight"": 0.1, ""dim_ff_multiplier"": 2, ""distill_weight"": 0.004543934690288945, ""ema_decay"": 0.9818113048036871, ""ema_decay_init"": 0.98, ""gnn_dropout"": 0.4426797842728626, ""gnn_hidden"": 256, ""gnn_layers"": 2, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.0018735531924000176, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 0, ""ih_rank"": 32, ""ih_symmetric"": false, ""info_nce_temperature"": 0.1, ""nhead"": 4, ""pretrain_lr"": 1.9549099806607568e-05, ""tf_dropout"": 0.330387652583648, ""tf_layers"": 1, ""transformer_lr"": 1.066901571366256e-05, ""weight_decay"": 2.589073038001961e-06}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.1, ""distill_weight"": 0.004543934690288945, ""ema_decay"": 0.9818113048036871, ""ema_decay_init"": 0.98, ""gcn_pretrain_epochs"": 150, ""lr"": 1.066901571366256e-05, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 1.9549099806607568e-05, ""transformer_epochs"": 150, ""transformer_lr"": 1.066901571366256e-05, ""weight_decay"": 2.589073038001961e-06}, ""model_kwargs"": {""dim_ff"": 512, ""gnn_dropout"": 0.4426797842728626, ""gnn_hidden"": 256, ""gnn_layers"": 2, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.0018735531924000176, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 0, ""ih_rank"": 32, ""ih_symmetric"": false, ""info_nce_temperature"": 0.1, ""nhead"": 4, ""tf_dropout"": 0.330387652583648, ""tf_layers"": 1}}"
