number,state,value,datetime_start,datetime_complete,duration_seconds,params_json,user_attrs_json
0,COMPLETE,0.5386911498871196,2026-08-23T17:55:34.381832,2026-08-23T17:59:14.485016,220.103184,"{""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.12370108840299013, ""ema_decay"": 0.9835274182990956, ""ema_decay_init"": 0.98, ""fusion_dropout"": 0.1, ""gnn_dropout"": 0.3, ""gnn_hidden"": 192, ""gnn_layers"": 2, ""head_lr"": 0.0022413234378101127, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.000137832374550072, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""info_nce_temperature"": 0.1, ""pretrain_lr"": 1.7456037635797413e-05, ""weight_decay"": 1.1459852062471542e-05}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.12370108840299013, ""ema_decay"": 0.9835274182990956, ""ema_decay_init"": 0.98, ""gcn_pretrain_epochs"": 150, ""head_epochs"": 150, ""head_lr"": 0.0022413234378101127, ""lr"": 0.0022413234378101127, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 1.7456037635797413e-05, ""weight_decay"": 1.1459852062471542e-05}, ""model_kwargs"": {""fusion_dropout"": 0.1, ""gnn_conv"": ""gcn"", ""gnn_dropout"": 0.3, ""gnn_hidden"": 192, ""gnn_layers"": 2, ""ih_assignment_mode"": ""sparse"", ""ih_block_proj"": true, ""ih_diversity_weight"": 0.000137832374550072, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""ih_symmetric"": false, ""info_nce_temperature"": 0.1, ""use_fingerprint"": false}}"
1,COMPLETE,0.586004839733161,2026-08-23T17:59:14.534334,2026-08-23T18:04:14.739580,300.205246,"{""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.0018844731205676561, ""ema_decay"": 0.9659339827793105, ""ema_decay_init"": 0.98, ""fusion_dropout"": 0.3, ""gnn_dropout"": 0.1, ""gnn_hidden"": 384, ""gnn_layers"": 4, ""head_lr"": 0.0013740794394697655, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.020597335357437203, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 256, ""ih_rank"": 16, ""info_nce_temperature"": 0.2, ""pretrain_lr"": 5.89306076111462e-05, ""weight_decay"": 1.6634129977434815e-06}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.0018844731205676561, ""ema_decay"": 0.9659339827793105, ""ema_decay_init"": 0.98, ""gcn_pretrain_epochs"": 150, ""head_epochs"": 150, ""head_lr"": 0.0013740794394697655, ""lr"": 0.0013740794394697655, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 5.89306076111462e-05, ""weight_decay"": 1.6634129977434815e-06}, ""model_kwargs"": {""fusion_dropout"": 0.3, ""gnn_conv"": ""gcn"", ""gnn_dropout"": 0.1, ""gnn_hidden"": 384, ""gnn_layers"": 4, ""ih_assignment_mode"": ""hard"", ""ih_block_proj"": true, ""ih_diversity_weight"": 0.020597335357437203, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 256, ""ih_rank"": 16, ""ih_symmetric"": false, ""info_nce_temperature"": 0.2, ""use_fingerprint"": false}}"
2,PRUNED,0.5225560799975792,2026-08-23T18:04:14.760960,2026-08-23T18:06:30.865966,136.105006,"{""batch_size"": 128, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.04146366737876131, ""ema_decay"": 0.9558734029993504, ""ema_decay_init"": 0.95, ""fusion_dropout"": 0.0, ""gnn_dropout"": 0.3, ""gnn_hidden"": 128, ""gnn_layers"": 2, ""head_lr"": 0.0013556076855136886, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.0002138729075414894, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 0, ""ih_rank"": 32, ""info_nce_temperature"": 0.5, ""pretrain_lr"": 3.549669983768087e-05, ""weight_decay"": 2.8274092273647294e-05}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.04146366737876131, ""ema_decay"": 0.9558734029993504, ""ema_decay_init"": 0.95, ""gcn_pretrain_epochs"": 150, ""head_epochs"": 150, ""head_lr"": 0.0013556076855136886, ""lr"": 0.0013556076855136886, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 3.549669983768087e-05, ""weight_decay"": 2.8274092273647294e-05}, ""model_kwargs"": {""fusion_dropout"": 0.0, ""gnn_conv"": ""gcn"", ""gnn_dropout"": 0.3, ""gnn_hidden"": 128, ""gnn_layers"": 2, ""ih_assignment_mode"": ""soft"", ""ih_block_proj"": true, ""ih_diversity_weight"": 0.0002138729075414894, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 0, ""ih_rank"": 32, ""ih_symmetric"": false, ""info_nce_temperature"": 0.5, ""use_fingerprint"": false}}"
3,PRUNED,0.5487661166219018,2026-08-23T18:06:31.150451,2026-08-23T18:08:48.638657,137.488206,"{""batch_size"": 128, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.0039222152370481465, ""ema_decay"": 0.9567385262631536, ""ema_decay_init"": 0.98, ""fusion_dropout"": 0.3, ""gnn_dropout"": 0.5, ""gnn_hidden"": 192, ""gnn_layers"": 2, ""head_lr"": 0.00039643430816069464, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.010781845035122271, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 0, ""ih_rank"": 32, ""info_nce_temperature"": 0.2, ""pretrain_lr"": 0.0020911913076641546, ""weight_decay"": 2.211697324503763e-05}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.0039222152370481465, ""ema_decay"": 0.9567385262631536, ""ema_decay_init"": 0.98, ""gcn_pretrain_epochs"": 150, ""head_epochs"": 150, ""head_lr"": 0.00039643430816069464, ""lr"": 0.00039643430816069464, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.0020911913076641546, ""weight_decay"": 2.211697324503763e-05}, ""model_kwargs"": {""fusion_dropout"": 0.3, ""gnn_conv"": ""gcn"", ""gnn_dropout"": 0.5, ""gnn_hidden"": 192, ""gnn_layers"": 2, ""ih_assignment_mode"": ""sparse"", ""ih_block_proj"": true, ""ih_diversity_weight"": 0.010781845035122271, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 0, ""ih_rank"": 32, ""ih_symmetric"": false, ""info_nce_temperature"": 0.2, ""use_fingerprint"": false}}"
4,PRUNED,0.5414406888641558,2026-08-23T18:08:48.858632,2026-08-23T18:11:33.725955,164.867323,"{""batch_size"": 128, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.014341118625275708, ""ema_decay"": 0.9976775171828698, ""ema_decay_init"": 0.95, ""fusion_dropout"": 0.0, ""gnn_dropout"": 0.5, ""gnn_hidden"": 384, ""gnn_layers"": 4, ""head_lr"": 0.00025572272317594177, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.01735698209081424, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 128, ""ih_rank"": 16, ""info_nce_temperature"": 0.2, ""pretrain_lr"": 4.021535729341343e-05, ""weight_decay"": 8.358739477050628e-06}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.014341118625275708, ""ema_decay"": 0.9976775171828698, ""ema_decay_init"": 0.95, ""gcn_pretrain_epochs"": 150, ""head_epochs"": 150, ""head_lr"": 0.00025572272317594177, ""lr"": 0.00025572272317594177, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 4.021535729341343e-05, ""weight_decay"": 8.358739477050628e-06}, ""model_kwargs"": {""fusion_dropout"": 0.0, ""gnn_conv"": ""gcn"", ""gnn_dropout"": 0.5, ""gnn_hidden"": 384, ""gnn_layers"": 4, ""ih_assignment_mode"": ""hard"", ""ih_block_proj"": true, ""ih_diversity_weight"": 0.01735698209081424, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 128, ""ih_rank"": 16, ""ih_symmetric"": false, ""info_nce_temperature"": 0.2, ""use_fingerprint"": false}}"
5,COMPLETE,0.5616575611727329,2026-08-23T18:11:33.973414,2026-08-23T18:13:54.077214,140.1038,"{""batch_size"": 128, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.04123318100884304, ""ema_decay"": 0.994748787075267, ""ema_decay_init"": 0.98, ""fusion_dropout"": 0.2, ""gnn_dropout"": 0.2, ""gnn_hidden"": 128, ""gnn_layers"": 2, ""head_lr"": 7.771469941298163e-05, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.04286661750367163, ""ih_num_prototypes"": 3, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""info_nce_temperature"": 0.1, ""pretrain_lr"": 0.0014055401945355056, ""weight_decay"": 0.0006559375651106448}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.04123318100884304, ""ema_decay"": 0.994748787075267, ""ema_decay_init"": 0.98, ""gcn_pretrain_epochs"": 150, ""head_epochs"": 150, ""head_lr"": 7.771469941298163e-05, ""lr"": 7.771469941298163e-05, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.0014055401945355056, ""weight_decay"": 0.0006559375651106448}, ""model_kwargs"": {""fusion_dropout"": 0.2, ""gnn_conv"": ""gcn"", ""gnn_dropout"": 0.2, ""gnn_hidden"": 128, ""gnn_layers"": 2, ""ih_assignment_mode"": ""hard"", ""ih_block_proj"": true, ""ih_diversity_weight"": 0.04286661750367163, ""ih_num_prototypes"": 3, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""ih_symmetric"": false, ""info_nce_temperature"": 0.1, ""use_fingerprint"": false}}"
6,PRUNED,0.5317023278617229,2026-08-23T18:13:54.095551,2026-08-23T18:17:59.765309,245.669758,"{""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.04987959735228863, ""ema_decay"": 0.9769121065705999, ""ema_decay_init"": 0.99, ""fusion_dropout"": 0.0, ""gnn_dropout"": 0.3, ""gnn_hidden"": 256, ""gnn_layers"": 3, ""head_lr"": 0.0005296786874055661, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.00017193692051833056, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 256, ""ih_rank"": 32, ""info_nce_temperature"": 0.2, ""pretrain_lr"": 4.1675613515342814e-05, ""weight_decay"": 3.4990533651792354e-06}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.04987959735228863, ""ema_decay"": 0.9769121065705999, ""ema_decay_init"": 0.99, ""gcn_pretrain_epochs"": 150, ""head_epochs"": 150, ""head_lr"": 0.0005296786874055661, ""lr"": 0.0005296786874055661, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 4.1675613515342814e-05, ""weight_decay"": 3.4990533651792354e-06}, ""model_kwargs"": {""fusion_dropout"": 0.0, ""gnn_conv"": ""gcn"", ""gnn_dropout"": 0.3, ""gnn_hidden"": 256, ""gnn_layers"": 3, ""ih_assignment_mode"": ""hard"", ""ih_block_proj"": true, ""ih_diversity_weight"": 0.00017193692051833056, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 256, ""ih_rank"": 32, ""ih_symmetric"": false, ""info_nce_temperature"": 0.2, ""use_fingerprint"": false}}"
7,COMPLETE,0.5537293140387634,2026-08-23T18:17:59.977021,2026-08-23T18:20:19.697394,139.720373,"{""batch_size"": 128, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.0016493623837247058, ""ema_decay"": 0.9943621814558471, ""ema_decay_init"": 0.9, ""fusion_dropout"": 0.1, ""gnn_dropout"": 0.3, ""gnn_hidden"": 256, ""gnn_layers"": 2, ""head_lr"": 0.00013650481636667998, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.06617450849063193, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""info_nce_temperature"": 0.5, ""pretrain_lr"": 0.002404282943608316, ""weight_decay"": 2.2005218660574487e-05}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.0016493623837247058, ""ema_decay"": 0.9943621814558471, ""ema_decay_init"": 0.9, ""gcn_pretrain_epochs"": 150, ""head_epochs"": 150, ""head_lr"": 0.00013650481636667998, ""lr"": 0.00013650481636667998, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.002404282943608316, ""weight_decay"": 2.2005218660574487e-05}, ""model_kwargs"": {""fusion_dropout"": 0.1, ""gnn_conv"": ""gcn"", ""gnn_dropout"": 0.3, ""gnn_hidden"": 256, ""gnn_layers"": 2, ""ih_assignment_mode"": ""hard"", ""ih_block_proj"": true, ""ih_diversity_weight"": 0.06617450849063193, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""ih_symmetric"": false, ""info_nce_temperature"": 0.5, ""use_fingerprint"": false}}"
8,PRUNED,0.5382928674509224,2026-08-23T18:20:19.715957,2026-08-23T18:22:38.892779,139.176822,"{""batch_size"": 128, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.053856280992241094, ""ema_decay"": 0.9809600233963202, ""ema_decay_init"": 0.99, ""fusion_dropout"": 0.4, ""gnn_dropout"": 0.3, ""gnn_hidden"": 128, ""gnn_layers"": 2, ""head_lr"": 1.683170718737057e-05, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.048592549471642474, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 128, ""ih_rank"": 64, ""info_nce_temperature"": 0.5, ""pretrain_lr"": 0.0002633147460220927, ""weight_decay"": 0.0020201160329851643}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.053856280992241094, ""ema_decay"": 0.9809600233963202, ""ema_decay_init"": 0.99, ""gcn_pretrain_epochs"": 150, ""head_epochs"": 150, ""head_lr"": 1.683170718737057e-05, ""lr"": 1.683170718737057e-05, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.0002633147460220927, ""weight_decay"": 0.0020201160329851643}, ""model_kwargs"": {""fusion_dropout"": 0.4, ""gnn_conv"": ""gcn"", ""gnn_dropout"": 0.3, ""gnn_hidden"": 128, ""gnn_layers"": 2, ""ih_assignment_mode"": ""soft"", ""ih_block_proj"": true, ""ih_diversity_weight"": 0.048592549471642474, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 128, ""ih_rank"": 64, ""ih_symmetric"": false, ""info_nce_temperature"": 0.5, ""use_fingerprint"": false}}"
9,PRUNED,0.5107964156969337,2026-08-23T18:22:39.155043,2026-08-23T18:27:03.239507,264.084464,"{""batch_size"": 64, ""cross_distill_weight"": 0.1, ""distill_weight"": 0.004543934690288945, ""ema_decay"": 0.9818113048036871, ""ema_decay_init"": 0.98, ""fusion_dropout"": 0.4, ""gnn_dropout"": 0.4, ""gnn_hidden"": 256, ""gnn_layers"": 4, ""head_lr"": 1.066901571366256e-05, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.0018735531924000176, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""info_nce_temperature"": 0.1, ""pretrain_lr"": 1.9549099806607568e-05, ""weight_decay"": 2.589073038001961e-06}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.1, ""distill_weight"": 0.004543934690288945, ""ema_decay"": 0.9818113048036871, ""ema_decay_init"": 0.98, ""gcn_pretrain_epochs"": 150, ""head_epochs"": 150, ""head_lr"": 1.066901571366256e-05, ""lr"": 1.066901571366256e-05, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 1.9549099806607568e-05, ""weight_decay"": 2.589073038001961e-06}, ""model_kwargs"": {""fusion_dropout"": 0.4, ""gnn_conv"": ""gcn"", ""gnn_dropout"": 0.4, ""gnn_hidden"": 256, ""gnn_layers"": 4, ""ih_assignment_mode"": ""soft"", ""ih_block_proj"": true, ""ih_diversity_weight"": 0.0018735531924000176, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""ih_symmetric"": false, ""info_nce_temperature"": 0.1, ""use_fingerprint"": false}}"
