number,state,value,datetime_start,datetime_complete,duration_seconds,params_json,user_attrs_json
0,COMPLETE,0.8059628866286848,2026-06-23T15:57:05.774142,2026-06-23T16:16:43.490995,1177.716853,"{""batch_size"": 128, ""cross_distill_weight"": 0.02, ""dim_ff_multiplier"": 4, ""distill_weight"": 0.000585796869615353, ""ema_decay"": 0.9728324913061851, ""ema_decay_init"": 0.9, ""gnn_dropout"": 0.4186326600082205, ""gnn_hidden"": 192, ""gnn_layers"": 3, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.005987474910461402, ""ih_num_prototypes"": 24, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""ih_symmetric"": true, ""info_nce_temperature"": 0.5, ""nhead"": 8, ""pretrain_lr"": 5.682837558512268e-05, ""tf_dropout"": 0.26370173320348284, ""tf_layers"": 4, ""transformer_lr"": 0.00012151617026673395, ""weight_decay"": 0.0006469870699850827}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.000585796869615353, ""ema_decay"": 0.9728324913061851, ""ema_decay_init"": 0.9, ""gcn_pretrain_epochs"": 150, ""lr"": 0.00012151617026673395, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 5.682837558512268e-05, ""transformer_epochs"": 150, ""transformer_lr"": 0.00012151617026673395, ""weight_decay"": 0.0006469870699850827}, ""model_kwargs"": {""dim_ff"": 768, ""gnn_dropout"": 0.4186326600082205, ""gnn_hidden"": 192, ""gnn_layers"": 3, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.005987474910461402, ""ih_num_prototypes"": 24, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""ih_symmetric"": true, ""info_nce_temperature"": 0.5, ""nhead"": 8, ""tf_dropout"": 0.26370173320348284, ""tf_layers"": 4}}"
1,COMPLETE,0.8127761559229004,2026-06-23T16:16:43.512179,2026-06-23T16:34:03.332546,1039.820367,"{""batch_size"": 128, ""cross_distill_weight"": 0.1, ""dim_ff_multiplier"": 3, ""distill_weight"": 0.029743734066098863, ""ema_decay"": 0.9718431921582946, ""ema_decay_init"": 0.98, ""gnn_dropout"": 0.5148434057604027, ""gnn_hidden"": 512, ""gnn_layers"": 3, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.013199942261535026, ""ih_num_prototypes"": 16, ""ih_proj_dim"": 128, ""ih_rank"": 64, ""ih_symmetric"": true, ""info_nce_temperature"": 0.5, ""nhead"": 8, ""pretrain_lr"": 6.601984958164861e-05, ""tf_dropout"": 0.2975990992289793, ""tf_layers"": 2, ""transformer_lr"": 0.00029266761285490743, ""weight_decay"": 0.00014698843461707762}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.1, ""distill_weight"": 0.029743734066098863, ""ema_decay"": 0.9718431921582946, ""ema_decay_init"": 0.98, ""gcn_pretrain_epochs"": 150, ""lr"": 0.00029266761285490743, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 6.601984958164861e-05, ""transformer_epochs"": 150, ""transformer_lr"": 0.00029266761285490743, ""weight_decay"": 0.00014698843461707762}, ""model_kwargs"": {""dim_ff"": 1536, ""gnn_dropout"": 0.5148434057604027, ""gnn_hidden"": 512, ""gnn_layers"": 3, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.013199942261535026, ""ih_num_prototypes"": 16, ""ih_proj_dim"": 128, ""ih_rank"": 64, ""ih_symmetric"": true, ""info_nce_temperature"": 0.5, ""nhead"": 8, ""tf_dropout"": 0.2975990992289793, ""tf_layers"": 2}}"
2,COMPLETE,0.7938127404533931,2026-06-23T16:34:03.348930,2026-06-23T16:52:23.744594,1100.395664,"{""batch_size"": 128, ""cross_distill_weight"": 0.1, ""dim_ff_multiplier"": 2, ""distill_weight"": 0.03844053400737477, ""ema_decay"": 0.9848116717747494, ""ema_decay_init"": 0.9, ""gnn_dropout"": 0.3863846850687013, ""gnn_hidden"": 256, ""gnn_layers"": 2, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.026443593078398657, ""ih_num_prototypes"": 16, ""ih_proj_dim"": 256, ""ih_rank"": 32, ""ih_symmetric"": false, ""info_nce_temperature"": 0.2, ""nhead"": 8, ""pretrain_lr"": 1.0404501336028154e-05, ""tf_dropout"": 0.2747876687446625, ""tf_layers"": 4, ""transformer_lr"": 0.00019794771074932348, ""weight_decay"": 0.0009837043811631947}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.1, ""distill_weight"": 0.03844053400737477, ""ema_decay"": 0.9848116717747494, ""ema_decay_init"": 0.9, ""gcn_pretrain_epochs"": 150, ""lr"": 0.00019794771074932348, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 1.0404501336028154e-05, ""transformer_epochs"": 150, ""transformer_lr"": 0.00019794771074932348, ""weight_decay"": 0.0009837043811631947}, ""model_kwargs"": {""dim_ff"": 512, ""gnn_dropout"": 0.3863846850687013, ""gnn_hidden"": 256, ""gnn_layers"": 2, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.026443593078398657, ""ih_num_prototypes"": 16, ""ih_proj_dim"": 256, ""ih_rank"": 32, ""ih_symmetric"": false, ""info_nce_temperature"": 0.2, ""nhead"": 8, ""tf_dropout"": 0.2747876687446625, ""tf_layers"": 4}}"
3,COMPLETE,0.8092456434974552,2026-06-23T16:52:23.758635,2026-06-23T17:10:14.462552,1070.703917,"{""batch_size"": 128, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 2, ""distill_weight"": 0.002404931475750692, ""ema_decay"": 0.9750566264411448, ""ema_decay_init"": 0.98, ""gnn_dropout"": 0.3262055604529877, ""gnn_hidden"": 192, ""gnn_layers"": 3, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.0009169384722192332, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 128, ""ih_rank"": 64, ""ih_symmetric"": false, ""info_nce_temperature"": 1.0, ""nhead"": 8, ""pretrain_lr"": 0.00039643430816069464, ""tf_dropout"": 0.2718685672000917, ""tf_layers"": 4, ""transformer_lr"": 0.0007612574550680783, ""weight_decay"": 6.13130999103722e-06}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.002404931475750692, ""ema_decay"": 0.9750566264411448, ""ema_decay_init"": 0.98, ""gcn_pretrain_epochs"": 150, ""lr"": 0.0007612574550680783, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.00039643430816069464, ""transformer_epochs"": 150, ""transformer_lr"": 0.0007612574550680783, ""weight_decay"": 6.13130999103722e-06}, ""model_kwargs"": {""dim_ff"": 384, ""gnn_dropout"": 0.3262055604529877, ""gnn_hidden"": 192, ""gnn_layers"": 3, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.0009169384722192332, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 128, ""ih_rank"": 64, ""ih_symmetric"": false, ""info_nce_temperature"": 1.0, ""nhead"": 8, ""tf_dropout"": 0.2718685672000917, ""tf_layers"": 4}}"
4,COMPLETE,0.8043833706706184,2026-06-23T17:10:14.475900,2026-06-23T17:40:09.632369,1795.156469,"{""batch_size"": 64, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 4, ""distill_weight"": 0.04415614124121264, ""ema_decay"": 0.9864809494967287, ""ema_decay_init"": 0.95, ""gnn_dropout"": 0.3848956557729706, ""gnn_hidden"": 256, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.009034076805537776, ""ih_num_prototypes"": 16, ""ih_proj_dim"": 128, ""ih_rank"": 16, ""ih_symmetric"": false, ""info_nce_temperature"": 0.5, ""nhead"": 8, ""pretrain_lr"": 0.000425585549072793, ""tf_dropout"": 0.46913307798577314, ""tf_layers"": 4, ""transformer_lr"": 0.00026506645379019666, ""weight_decay"": 0.0008971246103963549}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.04415614124121264, ""ema_decay"": 0.9864809494967287, ""ema_decay_init"": 0.95, ""gcn_pretrain_epochs"": 150, ""lr"": 0.00026506645379019666, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.000425585549072793, ""transformer_epochs"": 150, ""transformer_lr"": 0.00026506645379019666, ""weight_decay"": 0.0008971246103963549}, ""model_kwargs"": {""dim_ff"": 1024, ""gnn_dropout"": 0.3848956557729706, ""gnn_hidden"": 256, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.009034076805537776, ""ih_num_prototypes"": 16, ""ih_proj_dim"": 128, ""ih_rank"": 16, ""ih_symmetric"": false, ""info_nce_temperature"": 0.5, ""nhead"": 8, ""tf_dropout"": 0.46913307798577314, ""tf_layers"": 4}}"
5,COMPLETE,0.8075407710102382,2026-06-23T17:40:09.645545,2026-06-23T17:59:39.698570,1170.053025,"{""batch_size"": 128, ""cross_distill_weight"": 0.02, ""dim_ff_multiplier"": 2, ""distill_weight"": 0.02710907140487825, ""ema_decay"": 0.9903720384356262, ""ema_decay_init"": 0.99, ""gnn_dropout"": 0.17969980573317204, ""gnn_hidden"": 128, ""gnn_layers"": 3, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.005130781383387444, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 128, ""ih_rank"": 32, ""ih_symmetric"": true, ""info_nce_temperature"": 1.0, ""nhead"": 8, ""pretrain_lr"": 0.0005328347086901425, ""tf_dropout"": 0.31104761007663334, ""tf_layers"": 4, ""transformer_lr"": 0.00015214353605950138, ""weight_decay"": 0.0003764803431019338}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.02710907140487825, ""ema_decay"": 0.9903720384356262, ""ema_decay_init"": 0.99, ""gcn_pretrain_epochs"": 150, ""lr"": 0.00015214353605950138, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.0005328347086901425, ""transformer_epochs"": 150, ""transformer_lr"": 0.00015214353605950138, ""weight_decay"": 0.0003764803431019338}, ""model_kwargs"": {""dim_ff"": 256, ""gnn_dropout"": 0.17969980573317204, ""gnn_hidden"": 128, ""gnn_layers"": 3, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.005130781383387444, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 128, ""ih_rank"": 32, ""ih_symmetric"": true, ""info_nce_temperature"": 1.0, ""nhead"": 8, ""tf_dropout"": 0.31104761007663334, ""tf_layers"": 4}}"
6,PRUNED,0.7806882631011468,2026-06-23T17:59:39.714109,2026-06-23T18:17:25.839295,1066.125186,"{""batch_size"": 128, ""cross_distill_weight"": 0.1, ""dim_ff_multiplier"": 3, ""distill_weight"": 0.0010276473098195077, ""ema_decay"": 0.9979168040256599, ""ema_decay_init"": 0.9, ""gnn_dropout"": 0.11617402320853394, ""gnn_hidden"": 512, ""gnn_layers"": 3, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.015075579010793662, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""ih_symmetric"": true, ""info_nce_temperature"": 0.2, ""nhead"": 8, ""pretrain_lr"": 1.1555716146555266e-05, ""tf_dropout"": 0.37724997817070327, ""tf_layers"": 2, ""transformer_lr"": 0.0010828320247179247, ""weight_decay"": 1.8741413859606674e-06}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.1, ""distill_weight"": 0.0010276473098195077, ""ema_decay"": 0.9979168040256599, ""ema_decay_init"": 0.9, ""gcn_pretrain_epochs"": 150, ""lr"": 0.0010828320247179247, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 1.1555716146555266e-05, ""transformer_epochs"": 150, ""transformer_lr"": 0.0010828320247179247, ""weight_decay"": 1.8741413859606674e-06}, ""model_kwargs"": {""dim_ff"": 1536, ""gnn_dropout"": 0.11617402320853394, ""gnn_hidden"": 512, ""gnn_layers"": 3, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.015075579010793662, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""ih_symmetric"": true, ""info_nce_temperature"": 0.2, ""nhead"": 8, ""tf_dropout"": 0.37724997817070327, ""tf_layers"": 2}}"
7,COMPLETE,0.8170631391408322,2026-06-23T18:17:26.050356,2026-06-23T18:44:35.980882,1629.930526,"{""batch_size"": 64, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 2, ""distill_weight"": 0.03818560025895524, ""ema_decay"": 0.9866887511584005, ""ema_decay_init"": 0.95, ""gnn_dropout"": 0.44103074970896616, ""gnn_hidden"": 256, ""gnn_layers"": 3, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.003231534343074976, ""ih_num_prototypes"": 24, ""ih_proj_dim"": 128, ""ih_rank"": 16, ""ih_symmetric"": false, ""info_nce_temperature"": 0.2, ""nhead"": 8, ""pretrain_lr"": 0.0021333608225682188, ""tf_dropout"": 0.21221864069569105, ""tf_layers"": 2, ""transformer_lr"": 0.00012354126873909997, ""weight_decay"": 0.00010884606276520262}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.03818560025895524, ""ema_decay"": 0.9866887511584005, ""ema_decay_init"": 0.95, ""gcn_pretrain_epochs"": 150, ""lr"": 0.00012354126873909997, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.0021333608225682188, ""transformer_epochs"": 150, ""transformer_lr"": 0.00012354126873909997, ""weight_decay"": 0.00010884606276520262}, ""model_kwargs"": {""dim_ff"": 512, ""gnn_dropout"": 0.44103074970896616, ""gnn_hidden"": 256, ""gnn_layers"": 3, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.003231534343074976, ""ih_num_prototypes"": 24, ""ih_proj_dim"": 128, ""ih_rank"": 16, ""ih_symmetric"": false, ""info_nce_temperature"": 0.2, ""nhead"": 8, ""tf_dropout"": 0.21221864069569105, ""tf_layers"": 2}}"
8,PRUNED,0.7891948538217036,2026-06-23T18:44:35.997209,2026-06-23T19:11:11.910672,1595.913463,"{""batch_size"": 64, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 2, ""distill_weight"": 0.002175691322039477, ""ema_decay"": 0.9959701736263898, ""ema_decay_init"": 0.98, ""gnn_dropout"": 0.11047237108112165, ""gnn_hidden"": 128, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.037604364662000477, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 256, ""ih_rank"": 32, ""ih_symmetric"": true, ""info_nce_temperature"": 1.0, ""nhead"": 4, ""pretrain_lr"": 6.205855646103131e-05, ""tf_dropout"": 0.4090211496092452, ""tf_layers"": 2, ""transformer_lr"": 0.0001361969075212517, ""weight_decay"": 0.0007476405039016406}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.002175691322039477, ""ema_decay"": 0.9959701736263898, ""ema_decay_init"": 0.98, ""gcn_pretrain_epochs"": 150, ""lr"": 0.0001361969075212517, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 6.205855646103131e-05, ""transformer_epochs"": 150, ""transformer_lr"": 0.0001361969075212517, ""weight_decay"": 0.0007476405039016406}, ""model_kwargs"": {""dim_ff"": 256, ""gnn_dropout"": 0.11047237108112165, ""gnn_hidden"": 128, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.037604364662000477, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 256, ""ih_rank"": 32, ""ih_symmetric"": true, ""info_nce_temperature"": 1.0, ""nhead"": 4, ""tf_dropout"": 0.4090211496092452, ""tf_layers"": 2}}"
9,PRUNED,0.6238962768786452,2026-06-23T19:11:12.124820,2026-06-23T19:37:23.656353,1571.531533,"{""batch_size"": 64, ""cross_distill_weight"": 0.02, ""dim_ff_multiplier"": 3, ""distill_weight"": 0.0005268382444016461, ""ema_decay"": 0.9861937232423383, ""ema_decay_init"": 0.95, ""gnn_dropout"": 0.3224891371161617, ""gnn_hidden"": 512, ""gnn_layers"": 2, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.001326821154758573, ""ih_num_prototypes"": 16, ""ih_proj_dim"": 128, ""ih_rank"": 16, ""ih_symmetric"": true, ""info_nce_temperature"": 1.0, ""nhead"": 8, ""pretrain_lr"": 0.0008415639889678826, ""tf_dropout"": 0.4663112548274899, ""tf_layers"": 3, ""transformer_lr"": 0.001917860258071628, ""weight_decay"": 1.9513812010055734e-06}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.0005268382444016461, ""ema_decay"": 0.9861937232423383, ""ema_decay_init"": 0.95, ""gcn_pretrain_epochs"": 150, ""lr"": 0.001917860258071628, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.0008415639889678826, ""transformer_epochs"": 150, ""transformer_lr"": 0.001917860258071628, ""weight_decay"": 1.9513812010055734e-06}, ""model_kwargs"": {""dim_ff"": 1536, ""gnn_dropout"": 0.3224891371161617, ""gnn_hidden"": 512, ""gnn_layers"": 2, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.001326821154758573, ""ih_num_prototypes"": 16, ""ih_proj_dim"": 128, ""ih_rank"": 16, ""ih_symmetric"": true, ""info_nce_temperature"": 1.0, ""nhead"": 8, ""tf_dropout"": 0.4663112548274899, ""tf_layers"": 3}}"
