ablation,dataset,split_protocol,task_type,metric_name,n_seeds,mean_test_metric,std_test_metric,ci95_lower,ci95_upper,ci95_margin,per_seed_metrics,config_source,mean_test_roc_auc,std_test_roc_auc
gcn_full_model,tox21,scaffold,classification,roc_auc,5,0.7461,0.0047,0.7402,0.7519,0.0059,"[0.7517, 0.7507, 0.7434, 0.7429, 0.7418]",optuna_tuned:best_config.json,0.7461,0.0047
gcn_full_model,bbbp,scaffold,classification,roc_auc,5,0.7089,0.0106,0.6957,0.7221,0.0132,"[0.7239, 0.7146, 0.707, 0.7016, 0.6973]",optuna_tuned:best_config.json,0.7089,0.0106
gcn_full_model,bace,scaffold,classification,roc_auc,5,0.8123,0.0149,0.7938,0.8308,0.0185,"[0.8362, 0.8134, 0.8087, 0.8075, 0.7957]",optuna_tuned:best_config.json,0.8123,0.0149
gcn_full_model,sider,scaffold,classification,roc_auc,5,0.6089,0.0122,0.5938,0.624,0.0151,"[0.6276, 0.6141, 0.6042, 0.6017, 0.597]",optuna_tuned:best_config.json,0.6089,0.0122
gcn_full_model,clintox,scaffold,classification,roc_auc,5,0.8852,0.0178,0.863,0.9073,0.0221,"[0.9075, 0.8949, 0.8841, 0.8794, 0.8598]",optuna_tuned:best_config.json,0.8852,0.0178
gcn_full_model,toxcast,scaffold,classification,roc_auc,5,0.623,0.004,0.618,0.628,0.005,"[0.6272, 0.6244, 0.6237, 0.6234, 0.6163]",optuna_tuned:best_config.json,0.623,0.004
gcn_full_model,hiv,scaffold,classification,roc_auc,5,0.7672,0.0301,0.7298,0.8047,0.0374,"[0.787, 0.7847, 0.7811, 0.7685, 0.7149]",optuna_tuned:best_config.json,0.7672,0.0301
gcn_no_3d,tox21,scaffold,classification,roc_auc,5,0.7524,0.0073,0.7434,0.7614,0.009,"[0.7636, 0.7529, 0.7518, 0.7504, 0.7433]",optuna_tuned:best_config.json(full_model_sibling),0.7524,0.0073
gcn_no_3d,bbbp,scaffold,classification,roc_auc,5,0.7065,0.0157,0.687,0.726,0.0195,"[0.726, 0.7195, 0.7029, 0.6938, 0.6901]",optuna_tuned:best_config.json(full_model_sibling),0.7065,0.0157
gcn_no_3d,bace,scaffold,classification,roc_auc,5,0.8239,0.0098,0.8118,0.8361,0.0121,"[0.838, 0.8301, 0.8197, 0.8161, 0.8158]",optuna_tuned:best_config.json(full_model_sibling),0.8239,0.0098
gcn_no_3d,sider,scaffold,classification,roc_auc,5,0.6053,0.0131,0.589,0.6216,0.0163,"[0.6286, 0.6013, 0.6004, 0.5988, 0.5975]",optuna_tuned:best_config.json(full_model_sibling),0.6053,0.0131
gcn_no_3d,clintox,scaffold,classification,roc_auc,5,0.8623,0.0169,0.8413,0.8833,0.021,"[0.8764, 0.8745, 0.8688, 0.8565, 0.8354]",optuna_tuned:best_config.json(full_model_sibling),0.8623,0.0169
gcn_no_3d,toxcast,scaffold,classification,roc_auc,5,0.6136,0.0063,0.6058,0.6214,0.0078,"[0.6213, 0.6192, 0.6113, 0.6092, 0.607]",optuna_tuned:best_config.json(full_model_sibling),0.6136,0.0063
gcn_no_3d,hiv,scaffold,classification,roc_auc,5,0.7754,0.0193,0.7515,0.7994,0.0239,"[0.7973, 0.7839, 0.7827, 0.766, 0.7473]",optuna_tuned:best_config.json(full_model_sibling),0.7754,0.0193
gcn_no_infonce,tox21,scaffold,classification,roc_auc,5,0.743,0.0041,0.7379,0.7481,0.0051,"[0.7465, 0.7461, 0.7449, 0.7409, 0.7368]",optuna_tuned:best_config.json(full_model_sibling),0.743,0.0041
gcn_no_infonce,bbbp,scaffold,classification,roc_auc,5,0.709,0.0099,0.6967,0.7213,0.0123,"[0.7236, 0.7144, 0.7054, 0.7023, 0.6993]",optuna_tuned:best_config.json(full_model_sibling),0.709,0.0099
gcn_no_infonce,bace,scaffold,classification,roc_auc,5,0.8156,0.014,0.7982,0.8329,0.0174,"[0.8399, 0.8149, 0.8091, 0.8087, 0.8054]",optuna_tuned:best_config.json(full_model_sibling),0.8156,0.014
gcn_no_infonce,sider,scaffold,classification,roc_auc,5,0.6031,0.018,0.5807,0.6255,0.0224,"[0.6299, 0.6104, 0.6001, 0.591, 0.5838]",optuna_tuned:best_config.json(full_model_sibling),0.6031,0.018
gcn_no_infonce,clintox,scaffold,classification,roc_auc,5,0.8814,0.0142,0.8637,0.899,0.0177,"[0.8999, 0.8851, 0.8835, 0.878, 0.8605]",optuna_tuned:best_config.json(full_model_sibling),0.8814,0.0142
gcn_no_infonce,toxcast,scaffold,classification,roc_auc,5,0.622,0.0044,0.6164,0.6275,0.0055,"[0.6285, 0.6245, 0.6197, 0.6192, 0.6179]",optuna_tuned:best_config.json(full_model_sibling),0.622,0.0044
gcn_no_infonce,hiv,scaffold,classification,roc_auc,5,0.7673,0.006,0.7599,0.7747,0.0074,"[0.7766, 0.7697, 0.7645, 0.764, 0.7618]",optuna_tuned:best_config.json(full_model_sibling),0.7673,0.006
gcn_no_codebook,tox21,scaffold,classification,roc_auc,5,0.7429,0.0049,0.7369,0.749,0.006,"[0.7505, 0.7446, 0.7417, 0.7397, 0.7382]",optuna_tuned:best_config.json(full_model_sibling),0.7429,0.0049
gcn_no_codebook,bbbp,scaffold,classification,roc_auc,5,0.6929,0.0026,0.6897,0.6961,0.0032,"[0.6962, 0.6951, 0.6912, 0.691, 0.6909]",optuna_tuned:best_config.json(full_model_sibling),0.6929,0.0026
gcn_no_codebook,bace,scaffold,classification,roc_auc,5,0.8351,0.0071,0.8263,0.8438,0.0088,"[0.8428, 0.8402, 0.8348, 0.8329, 0.8246]",optuna_tuned:best_config.json(full_model_sibling),0.8351,0.0071
gcn_no_codebook,sider,scaffold,classification,roc_auc,5,0.6329,0.0176,0.611,0.6547,0.0218,"[0.65, 0.6441, 0.6336, 0.6322, 0.6043]",optuna_tuned:best_config.json(full_model_sibling),0.6329,0.0176
gcn_no_codebook,clintox,scaffold,classification,roc_auc,5,0.8894,0.0123,0.8741,0.9047,0.0153,"[0.9045, 0.8965, 0.8905, 0.8829, 0.8725]",optuna_tuned:best_config.json(full_model_sibling),0.8894,0.0123
gcn_no_codebook,toxcast,scaffold,classification,roc_auc,5,0.659,0.0032,0.655,0.663,0.004,"[0.6617, 0.661, 0.6596, 0.659, 0.6535]",optuna_tuned:best_config.json(full_model_sibling),0.659,0.0032
gcn_no_codebook,hiv,scaffold,classification,roc_auc,5,0.7644,0.0125,0.7488,0.7799,0.0155,"[0.778, 0.7725, 0.7677, 0.7567, 0.7469]",optuna_tuned:best_config.json(full_model_sibling),0.7644,0.0125
gcn_no_fp,tox21,scaffold,classification,roc_auc,5,0.7392,0.0075,0.7299,0.7486,0.0094,"[0.7489, 0.7442, 0.7392, 0.7331, 0.7308]",optuna_tuned:best_config.json(full_model_sibling),0.7392,0.0075
gcn_no_fp,bbbp,scaffold,classification,roc_auc,5,0.647,0.0047,0.6411,0.6528,0.0059,"[0.6523, 0.6487, 0.6486, 0.6455, 0.6397]",optuna_tuned:best_config.json(full_model_sibling),0.647,0.0047
gcn_no_fp,bace,scaffold,classification,roc_auc,5,0.8022,0.0073,0.7931,0.8113,0.0091,"[0.8094, 0.8069, 0.8053, 0.7976, 0.7917]",optuna_tuned:best_config.json(full_model_sibling),0.8022,0.0073
gcn_no_fp,sider,scaffold,classification,roc_auc,5,0.6436,0.0066,0.6354,0.6517,0.0082,"[0.6497, 0.648, 0.6452, 0.6419, 0.6331]",optuna_tuned:best_config.json(full_model_sibling),0.6436,0.0066
gcn_no_fp,clintox,scaffold,classification,roc_auc,5,0.8924,0.0179,0.8702,0.9146,0.0222,"[0.9214, 0.8952, 0.8858, 0.8854, 0.8741]",optuna_tuned:best_config.json(full_model_sibling),0.8924,0.0179
gcn_no_fp,toxcast,scaffold,classification,roc_auc,5,0.6125,0.0035,0.6082,0.6168,0.0043,"[0.6174, 0.6135, 0.6128, 0.6109, 0.608]",optuna_tuned:best_config.json(full_model_sibling),0.6125,0.0035
gcn_no_fp,hiv,scaffold,classification,roc_auc,5,0.7564,0.0267,0.7232,0.7896,0.0332,"[0.7862, 0.7704, 0.7657, 0.7417, 0.718]",optuna_tuned:best_config.json(full_model_sibling),0.7564,0.0267
gcn_no_3d_infonce,tox21,scaffold,classification,roc_auc,5,0.7494,0.0056,0.7424,0.7564,0.007,"[0.7575, 0.7517, 0.7485, 0.7467, 0.7426]",optuna_tuned:best_config.json(full_model_sibling),0.7494,0.0056
gcn_no_3d_infonce,bbbp,scaffold,classification,roc_auc,5,0.7053,0.0136,0.6884,0.7222,0.0169,"[0.722, 0.7172, 0.7006, 0.6956, 0.691]",optuna_tuned:best_config.json(full_model_sibling),0.7053,0.0136
gcn_no_3d_infonce,bace,scaffold,classification,roc_auc,5,0.8247,0.0129,0.8087,0.8408,0.0161,"[0.844, 0.8317, 0.8188, 0.8165, 0.8127]",optuna_tuned:best_config.json(full_model_sibling),0.8247,0.0129
gcn_no_3d_infonce,sider,scaffold,classification,roc_auc,5,0.619,0.0119,0.6042,0.6338,0.0148,"[0.6366, 0.626, 0.6129, 0.6104, 0.609]",optuna_tuned:best_config.json(full_model_sibling),0.619,0.0119
gcn_no_3d_infonce,clintox,scaffold,classification,roc_auc,5,0.8479,0.0198,0.8232,0.8725,0.0246,"[0.8649, 0.8603, 0.8529, 0.8463, 0.8148]",optuna_tuned:best_config.json(full_model_sibling),0.8479,0.0198
gcn_no_3d_infonce,toxcast,scaffold,classification,roc_auc,5,0.6146,0.0061,0.6071,0.6222,0.0075,"[0.6215, 0.6201, 0.6133, 0.6109, 0.6073]",optuna_tuned:best_config.json(full_model_sibling),0.6146,0.0061
gcn_no_3d_infonce,hiv,scaffold,classification,roc_auc,5,0.7663,0.0326,0.7258,0.8068,0.0405,"[0.8086, 0.7822, 0.7673, 0.7521, 0.7214]",optuna_tuned:best_config.json(full_model_sibling),0.7663,0.0326
gcn_no_3d_codebook,tox21,scaffold,classification,roc_auc,5,0.7525,0.0026,0.7492,0.7557,0.0033,"[0.755, 0.754, 0.753, 0.752, 0.7482]",optuna_tuned:best_config.json(full_model_sibling),0.7525,0.0026
gcn_no_3d_codebook,bbbp,scaffold,classification,roc_auc,5,0.6868,0.0064,0.6788,0.6947,0.008,"[0.6933, 0.6927, 0.6874, 0.6805, 0.6799]",optuna_tuned:best_config.json(full_model_sibling),0.6868,0.0064
gcn_no_3d_codebook,bace,scaffold,classification,roc_auc,5,0.8226,0.0119,0.8077,0.8374,0.0148,"[0.837, 0.8301, 0.8247, 0.8128, 0.8082]",optuna_tuned:best_config.json(full_model_sibling),0.8226,0.0119
gcn_no_3d_codebook,sider,scaffold,classification,roc_auc,5,0.6142,0.0172,0.5929,0.6355,0.0213,"[0.6305, 0.6265, 0.6219, 0.6014, 0.591]",optuna_tuned:best_config.json(full_model_sibling),0.6142,0.0172
gcn_no_3d_codebook,clintox,scaffold,classification,roc_auc,5,0.8495,0.0082,0.8394,0.8596,0.0101,"[0.8604, 0.8542, 0.8497, 0.8423, 0.841]",optuna_tuned:best_config.json(full_model_sibling),0.8495,0.0082
gcn_no_3d_codebook,toxcast,scaffold,classification,roc_auc,5,0.6538,0.0078,0.6441,0.6634,0.0097,"[0.6629, 0.6576, 0.654, 0.6525, 0.6418]",optuna_tuned:best_config.json(full_model_sibling),0.6538,0.0078
gcn_no_3d_codebook,hiv,scaffold,classification,roc_auc,5,0.7887,0.0054,0.7819,0.7954,0.0067,"[0.7937, 0.7935, 0.7888, 0.7868, 0.7806]",optuna_tuned:best_config.json(full_model_sibling),0.7887,0.0054
gcn_no_3d_fp,tox21,scaffold,classification,roc_auc,5,0.7285,0.0089,0.7175,0.7395,0.011,"[0.741, 0.7316, 0.7293, 0.7233, 0.7174]",optuna_tuned:best_config.json(full_model_sibling),0.7285,0.0089
gcn_no_3d_fp,bbbp,scaffold,classification,roc_auc,5,0.6282,0.0048,0.6222,0.6342,0.006,"[0.6339, 0.6305, 0.6301, 0.6244, 0.6221]",optuna_tuned:best_config.json(full_model_sibling),0.6282,0.0048
gcn_no_3d_fp,bace,scaffold,classification,roc_auc,5,0.7951,0.0132,0.7787,0.8114,0.0164,"[0.8134, 0.8022, 0.7911, 0.7899, 0.7788]",optuna_tuned:best_config.json(full_model_sibling),0.7951,0.0132
gcn_no_3d_fp,sider,scaffold,classification,roc_auc,5,0.6347,0.0083,0.6243,0.645,0.0103,"[0.6462, 0.639, 0.6334, 0.6303, 0.6244]",optuna_tuned:best_config.json(full_model_sibling),0.6347,0.0083
gcn_no_3d_fp,clintox,scaffold,classification,roc_auc,5,0.8543,0.0098,0.8422,0.8665,0.0121,"[0.8677, 0.8571, 0.8533, 0.8531, 0.8404]",optuna_tuned:best_config.json(full_model_sibling),0.8543,0.0098
gcn_no_3d_fp,toxcast,scaffold,classification,roc_auc,5,0.5875,0.0043,0.5822,0.5928,0.0053,"[0.5924, 0.5889, 0.588, 0.5874, 0.5807]",optuna_tuned:best_config.json(full_model_sibling),0.5875,0.0043
gcn_no_3d_fp,hiv,scaffold,classification,roc_auc,5,0.748,0.0196,0.7237,0.7723,0.0243,"[0.7746, 0.7582, 0.7488, 0.7318, 0.7266]",optuna_tuned:best_config.json(full_model_sibling),0.748,0.0196
