ablation,dataset,split_protocol,task_type,metric_name,n_seeds,mean_test_metric,std_test_metric,ci95_lower,ci95_upper,ci95_margin,per_seed_metrics,config_source,mean_test_mae,mean_test_r2,train_test_shift_sd,r2_reliable
gcn_full_model,esol,scaffold,regression,rmse,5,0.8908,0.0446,0.8354,0.9461,0.0553,"[0.8385, 0.8542, 0.8935, 0.9244, 0.9431]",optuna_tuned:best_config.json,0.6771,0.823,0.45,True
gcn_full_model,freesolv,scaffold,regression,rmse,5,1.9913,0.2362,1.6981,2.2846,0.2933,"[1.6957, 1.8647, 1.9984, 2.0694, 2.3283]",optuna_tuned:best_config.json,1.5607,0.6966,0.8,True
gcn_full_model,lipo,scaffold,regression,rmse,5,0.7177,0.015,0.699,0.7364,0.0187,"[0.6984, 0.7087, 0.7159, 0.7325, 0.7329]",optuna_tuned:best_config.json,0.5511,0.5772,0.166,True
gcn_full_model,cep,scaffold,regression,rmse,5,1.0716,0.0147,1.0533,1.0899,0.0183,"[1.0582, 1.0611, 1.0637, 1.0848, 1.0901]",optuna_tuned:best_config.json,0.5041,0.8235,0.011,True
gcn_full_model,malaria,scaffold,regression,rmse,5,1.9499,0.017,1.9288,1.9709,0.0211,"[1.9315, 1.9394, 1.9443, 1.9607, 1.9734]",optuna_tuned:best_config.json,1.6669,-3.0025,1.585,False
gcn_no_3d,esol,scaffold,regression,rmse,5,1.1159,0.0228,1.0876,1.1443,0.0283,"[1.0816, 1.1117, 1.1171, 1.1248, 1.1444]",optuna_tuned:best_config.json(full_model_sibling),0.8559,0.7227,0.45,True
gcn_no_3d,freesolv,scaffold,regression,rmse,5,2.1565,0.4073,1.6508,2.6623,0.5058,"[1.8715, 1.9171, 1.9508, 2.193, 2.8504]",optuna_tuned:best_config.json(full_model_sibling),1.664,0.6381,0.8,True
gcn_no_3d,lipo,scaffold,regression,rmse,5,0.7276,0.0142,0.71,0.7453,0.0177,"[0.7123, 0.7199, 0.7277, 0.7279, 0.7504]",optuna_tuned:best_config.json(full_model_sibling),0.5585,0.5654,0.166,True
gcn_no_3d,cep,scaffold,regression,rmse,5,1.111,0.0179,1.0887,1.1332,0.0222,"[1.0907, 1.0996, 1.1111, 1.1158, 1.1378]",optuna_tuned:best_config.json(full_model_sibling),0.5661,0.8102,0.011,True
gcn_no_3d,malaria,scaffold,regression,rmse,5,1.9381,0.0312,1.8993,1.9769,0.0388,"[1.9, 1.9107, 1.9514, 1.9553, 1.9731]",optuna_tuned:best_config.json(full_model_sibling),1.6493,-2.955,1.585,False
gcn_no_infonce,esol,scaffold,regression,rmse,5,0.891,0.0399,0.8415,0.9405,0.0495,"[0.8497, 0.8591, 0.89, 0.9069, 0.9492]",optuna_tuned:best_config.json(full_model_sibling),0.676,0.823,0.45,True
